model,metric,amplitude,phase,value
PtychoPINN,mae,0.159230,0.017939,
PtychoPINN,mse,0.046060,0.002134,
PtychoPINN,psnr,61.497545,74.839220,
PtychoPINN,ssim,0.526469,0.998244,
PtychoPINN,ms_ssim,0.884989,0.975990,
PtychoPINN,frc50,13.000000,,
PtychoPINN,registration_offset_dy,,,0.100000
PtychoPINN,registration_offset_dx,,,0.140000
PtychoPINN,computation_time_s,,,3.937609
