model,frequency_bin,amplitude_frc,phase_frc
Baseline,0,1.000000,1.000000
Baseline,1,0.292669,0.195467
Baseline,2,0.652617,0.423515
Baseline,3,0.263583,0.331998
Baseline,4,0.024053,0.141013
Baseline,5,0.084899,0.098244
Baseline,6,0.098392,0.122819
Baseline,7,0.152822,0.041980
Baseline,8,0.046947,0.146363
Baseline,9,0.037335,0.025545
Baseline,10,0.089452,0.088441
Baseline,11,0.005950,0.021460
Baseline,12,0.048591,0.037201
Baseline,13,0.022653,0.012537
Baseline,14,0.038258,0.022765
Baseline,15,0.033019,0.055725
Baseline,16,0.025409,0.006936
Baseline,17,0.099628,0.068971
Baseline,18,0.008636,0.016926
Baseline,19,0.077492,0.000194
Baseline,20,0.115573,0.159712
Baseline,21,0.051756,0.083935
Baseline,22,0.041261,0.076012
Baseline,23,0.030476,0.024627
Baseline,24,0.108524,0.189071
Baseline,25,0.118438,0.105651
Baseline,26,0.008636,0.053176
Baseline,27,0.110099,0.109696
Baseline,28,0.109578,0.063420
Baseline,29,0.143999,0.038656
Baseline,30,0.006861,0.091620
Baseline,31,0.046683,0.064511
Baseline,32,0.050556,0.019032
Baseline,33,0.110927,0.003685
Baseline,34,0.056647,0.012397
Baseline,35,0.131950,0.045271
Baseline,36,0.088885,0.045186
Baseline,37,0.008777,0.046866
Baseline,38,0.090745,0.023270
Baseline,39,0.032404,0.007277
Baseline,40,0.084220,0.014472
Baseline,41,0.022924,0.127053
Baseline,42,0.012778,0.019466
Baseline,43,0.013383,0.138932
Baseline,44,0.048039,0.011652
Baseline,45,0.047423,0.024765
Baseline,46,0.046150,0.029093
Baseline,47,0.117976,0.065485
Baseline,48,0.025683,0.092081
Baseline,49,0.121157,0.031305
Baseline,50,0.033767,0.096419
Baseline,51,0.118089,0.040154
Baseline,52,0.007758,0.104392
Baseline,53,0.045679,0.019056
Baseline,54,0.068099,0.033545
Baseline,55,0.032106,0.009054
Baseline,56,0.041581,0.000985
Baseline,57,0.054255,0.027459
Baseline,58,0.012277,0.068435
Baseline,59,0.017230,0.045733
Baseline,60,0.075030,0.022973
Baseline,61,0.020216,0.080797
Baseline,62,0.063018,0.020675
Baseline,63,0.031397,0.056768
Baseline,64,0.085493,0.014678
Baseline,65,0.014929,0.048499
Baseline,66,0.046400,0.000020
Baseline,67,0.016613,0.107761
Baseline,68,0.072187,0.047368
Baseline,69,0.011804,0.018553
Baseline,70,0.048653,0.000872
Baseline,71,0.057512,0.053731
Baseline,72,0.039118,0.018030
Baseline,73,0.016550,0.038352
Baseline,74,0.046095,0.053668
Baseline,75,0.081820,0.130045
Baseline,76,0.034736,0.033053
Baseline,77,0.017213,0.024068
Baseline,78,0.003940,0.038650
Baseline,79,0.055031,0.003777
Baseline,80,0.124008,0.003208
Baseline,81,0.075090,0.037996
Baseline,82,0.035550,0.013447
Baseline,83,0.005009,0.042086
Baseline,84,0.037669,0.071573
Baseline,85,0.032583,0.029603
Baseline,86,0.003136,0.055570
Baseline,87,0.065392,0.010465
Baseline,88,0.017678,0.069183
Baseline,89,0.101732,0.060113
Baseline,90,0.130798,0.052587
Baseline,91,0.008892,0.054726
Baseline,92,0.020073,0.019488
Baseline,93,0.051667,0.048780
Baseline,94,0.002340,0.086595
Baseline,95,0.088291,0.011095
Baseline,96,0.096993,0.079292
Baseline,97,0.050147,0.060416
Baseline,98,0.096413,0.141056
Baseline,99,0.007229,0.066201
Baseline,100,0.024947,0.066126
Baseline,101,0.028563,0.028815
Baseline,102,0.001481,0.004878
Baseline,103,0.033240,0.023564
Baseline,104,0.032920,0.084928
Baseline,105,0.017089,0.110817
Baseline,106,0.263165,0.030920
Baseline,107,0.067387,0.040474
Baseline,108,0.143790,0.124201
Baseline,109,0.202291,0.060301
Baseline,110,0.238548,0.026590
Baseline,111,0.120207,0.168321
Baseline,112,0.055446,0.173537
Baseline,113,0.020996,0.146272
Baseline,114,0.223025,0.198691
Baseline,115,0.006457,0.165721
Baseline,116,0.162983,0.151586
Baseline,117,0.128596,0.098347
Baseline,118,0.165634,0.072017
Baseline,119,0.146679,0.030338
Baseline,120,0.179352,0.125913
Baseline,121,0.122915,0.044537
Baseline,122,0.124141,0.218074
Baseline,123,0.614617,0.388187
Baseline,124,0.243125,0.403334
