model,frequency_bin,amplitude_frc,phase_frc
PtychoPINN,0,1.000000,1.000000
PtychoPINN,1,0.729004,0.080879
PtychoPINN,2,0.245502,0.112913
PtychoPINN,3,0.533267,0.617863
PtychoPINN,4,0.367984,0.605285
PtychoPINN,5,0.179815,0.559579
PtychoPINN,6,0.251707,0.674377
PtychoPINN,7,0.252855,0.680815
PtychoPINN,8,0.603597,0.807420
PtychoPINN,9,0.854242,0.925151
PtychoPINN,10,0.904976,0.946491
PtychoPINN,11,0.938127,0.968915
PtychoPINN,12,0.911347,0.954344
PtychoPINN,13,0.903720,0.958597
PtychoPINN,14,0.849888,0.942534
PtychoPINN,15,0.727551,0.941856
PtychoPINN,16,0.561254,0.903089
PtychoPINN,17,0.437121,0.907885
PtychoPINN,18,0.164373,0.823015
PtychoPINN,19,0.001193,0.841745
PtychoPINN,20,0.038218,0.813116
PtychoPINN,21,0.103380,0.763232
PtychoPINN,22,0.244522,0.693563
PtychoPINN,23,0.103912,0.717172
PtychoPINN,24,0.007903,0.479634
PtychoPINN,25,0.124864,0.583737
PtychoPINN,26,0.063560,0.494410
PtychoPINN,27,0.010547,0.283335
PtychoPINN,28,0.006602,0.419507
PtychoPINN,29,0.015182,0.370943
PtychoPINN,30,0.028214,0.390695
PtychoPINN,31,0.086946,0.309520
PtychoPINN,32,0.062241,0.346995
PtychoPINN,33,0.064056,0.303403
PtychoPINN,34,0.087001,0.203322
PtychoPINN,35,0.027566,0.209136
PtychoPINN,36,0.031452,0.178455
PtychoPINN,37,0.125076,0.119081
PtychoPINN,38,0.085199,0.202116
PtychoPINN,39,0.019017,0.043629
PtychoPINN,40,0.095155,0.077883
PtychoPINN,41,0.001924,0.041823
PtychoPINN,42,0.011647,0.136773
PtychoPINN,43,0.073510,0.029267
PtychoPINN,44,0.062140,0.019492
PtychoPINN,45,0.029849,0.098795
PtychoPINN,46,0.128559,0.022696
PtychoPINN,47,0.181364,0.075509
PtychoPINN,48,0.124097,0.016508
PtychoPINN,49,0.061102,0.075148
PtychoPINN,50,0.137526,0.067439
PtychoPINN,51,0.219398,0.088707
PtychoPINN,52,0.150072,0.099688
PtychoPINN,53,0.096459,0.041183
PtychoPINN,54,0.130168,0.092412
PtychoPINN,55,0.056108,0.025650
PtychoPINN,56,0.126348,0.063806
PtychoPINN,57,0.098660,0.046239
PtychoPINN,58,0.166181,0.005192
PtychoPINN,59,0.016636,0.060063
PtychoPINN,60,0.165662,0.085010
PtychoPINN,61,0.028098,0.052712
PtychoPINN,62,0.024916,0.011808
PtychoPINN,63,0.089007,0.015547
PtychoPINN,64,0.087817,0.039840
PtychoPINN,65,0.009559,0.059899
PtychoPINN,66,0.047165,0.000035
PtychoPINN,67,0.001605,0.100229
PtychoPINN,68,0.053479,0.006038
PtychoPINN,69,0.015811,0.084977
PtychoPINN,70,0.176896,0.051838
PtychoPINN,71,0.064891,0.026909
PtychoPINN,72,0.020760,0.036311
PtychoPINN,73,0.073145,0.026111
PtychoPINN,74,0.024599,0.021431
PtychoPINN,75,0.191760,0.043943
PtychoPINN,76,0.074841,0.051607
PtychoPINN,77,0.091674,0.019114
PtychoPINN,78,0.020326,0.013123
PtychoPINN,79,0.063252,0.004471
PtychoPINN,80,0.016394,0.080964
PtychoPINN,81,0.027346,0.030197
PtychoPINN,82,0.132233,0.018577
PtychoPINN,83,0.010767,0.067108
PtychoPINN,84,0.159456,0.003134
PtychoPINN,85,0.038817,0.026496
PtychoPINN,86,0.087702,0.015828
PtychoPINN,87,0.038879,0.003610
PtychoPINN,88,0.078172,0.049150
PtychoPINN,89,0.078150,0.087751
PtychoPINN,90,0.075381,0.129999
PtychoPINN,91,0.080171,0.013740
PtychoPINN,92,0.005428,0.044133
PtychoPINN,93,0.024001,0.046444
PtychoPINN,94,0.013547,0.052585
PtychoPINN,95,0.002464,0.012496
PtychoPINN,96,0.031685,0.060054
PtychoPINN,97,0.020779,0.001454
PtychoPINN,98,0.016895,0.014295
PtychoPINN,99,0.016320,0.004213
PtychoPINN,100,0.172010,0.053610
PtychoPINN,101,0.002935,0.030308
PtychoPINN,102,0.067442,0.084571
PtychoPINN,103,0.114705,0.024152
PtychoPINN,104,0.063465,0.034875
PtychoPINN,105,0.109405,0.040670
PtychoPINN,106,0.074076,0.052995
PtychoPINN,107,0.005340,0.092858
PtychoPINN,108,0.021168,0.081112
PtychoPINN,109,0.008364,0.019114
PtychoPINN,110,0.032567,0.078130
PtychoPINN,111,0.012835,0.059761
PtychoPINN,112,0.051788,0.170934
PtychoPINN,113,0.043146,0.229993
PtychoPINN,114,0.121312,0.161367
PtychoPINN,115,0.025294,0.004248
PtychoPINN,116,0.217704,0.054972
PtychoPINN,117,0.204129,0.158606
PtychoPINN,118,0.032339,0.158629
PtychoPINN,119,0.414957,0.064294
PtychoPINN,120,0.156924,0.119904
PtychoPINN,121,0.009052,0.187565
PtychoPINN,122,0.171894,0.003838
PtychoPINN,123,0.282086,0.438313
PtychoPINN,124,0.134009,0.149607
