model,metric,amplitude,phase,value
PtychoPINN,mae,0.170646,0.188784,
PtychoPINN,mse,0.059896,0.126399,
PtychoPINN,psnr,60.356791,57.113363,
PtychoPINN,ssim,0.326594,0.830942,
PtychoPINN,ms_ssim,0.507400,0.806906,
PtychoPINN,frc50,2.000000,1.000000,
Baseline,mae,0.164203,0.371282,
Baseline,mse,0.101788,0.406367,
Baseline,psnr,58.053835,52.041620,
Baseline,ssim,0.076341,0.461696,
Baseline,ms_ssim,,0.275538,
Baseline,frc50,1.000000,1.000000,
Tike,mae,0.097296,0.194281,
Tike,mse,0.016055,0.060838,
Tike,psnr,66.074785,60.289082,
Tike,ssim,0.317706,0.675197,
Tike,ms_ssim,0.523282,0.533662,
Tike,frc50,1.000000,3.000000,
PtychoPINN,registration_offset_dy,,,4.020000
PtychoPINN,registration_offset_dx,,,5.800000
Baseline,registration_offset_dy,,,68.919998
Baseline,registration_offset_dx,,,44.959999
Tike,registration_offset_dy,,,19.400000
Tike,registration_offset_dx,,,6.480000
PtychoPINN,computation_time_s,,,2.222556
Baseline,computation_time_s,,,0.678430
