model,frequency_bin,amplitude_frc,phase_frc
Baseline,0,1.000000,1.000000
Baseline,1,0.606815,0.112510
Baseline,2,0.217447,0.047092
Baseline,3,0.110726,0.025879
Baseline,4,0.169096,0.022736
Baseline,5,0.069681,0.047815
Baseline,6,0.084977,0.049003
Baseline,7,0.147213,0.050058
Baseline,8,0.028489,0.100701
Baseline,9,0.102110,0.023004
Baseline,10,0.008881,0.147380
Baseline,11,0.051018,0.026992
Baseline,12,0.073309,0.113960
Baseline,13,0.027403,0.062252
Baseline,14,0.020175,0.053494
Baseline,15,0.016001,0.119602
Baseline,16,0.067382,0.095767
Baseline,17,0.077052,0.019450
Baseline,18,0.039604,0.037164
Baseline,19,0.113181,0.056286
Baseline,20,0.061847,0.088807
Baseline,21,0.161325,0.044798
Baseline,22,0.076529,0.099859
Baseline,23,0.113791,0.071862
Baseline,24,0.056584,0.071918
Baseline,25,0.100571,0.130774
Baseline,26,0.065323,0.040179
Baseline,27,0.120934,0.013964
Baseline,28,0.090421,0.026363
Baseline,29,0.112065,0.085041
Baseline,30,0.099313,0.042897
Baseline,31,0.106318,0.023032
Baseline,32,0.065651,0.004238
Baseline,33,0.054368,0.133365
Baseline,34,0.035977,0.159838
Baseline,35,0.091851,0.025105
Baseline,36,0.001832,0.065032
Baseline,37,0.153493,0.045036
Baseline,38,0.057517,0.286367
Baseline,39,0.203903,0.258668
Baseline,40,0.288505,0.000066
Baseline,41,0.099445,0.338319
