model,frequency_bin,amplitude_frc,phase_frc
PtychoPINN,0,1.000000,1.000000
PtychoPINN,1,0.548405,0.391091
PtychoPINN,2,0.160294,0.603790
PtychoPINN,3,0.070983,0.508036
PtychoPINN,4,0.258869,0.320991
PtychoPINN,5,0.014076,0.370151
PtychoPINN,6,0.141722,0.247577
PtychoPINN,7,0.125832,0.108980
PtychoPINN,8,0.026360,0.643645
PtychoPINN,9,0.076676,0.501645
PtychoPINN,10,0.449221,0.392375
PtychoPINN,11,0.222463,0.146623
PtychoPINN,12,0.122882,0.145632
PtychoPINN,13,0.049991,0.067074
PtychoPINN,14,0.028583,0.172943
PtychoPINN,15,0.135516,0.084276
PtychoPINN,16,0.035745,0.060377
PtychoPINN,17,0.129131,0.203340
PtychoPINN,18,0.095005,0.026832
PtychoPINN,19,0.099429,0.112834
PtychoPINN,20,0.143544,0.126014
PtychoPINN,21,0.125990,0.006822
PtychoPINN,22,0.079443,0.212653
PtychoPINN,23,0.133803,0.161075
PtychoPINN,24,0.094236,0.153129
PtychoPINN,25,0.017960,0.218722
PtychoPINN,26,0.028316,0.171448
PtychoPINN,27,0.113633,0.166849
PtychoPINN,28,0.071155,0.203654
PtychoPINN,29,0.111476,0.324096
PtychoPINN,30,0.117679,0.013278
PtychoPINN,31,0.087401,0.027783
PtychoPINN,32,0.076320,0.041294
PtychoPINN,33,0.135295,0.080616
PtychoPINN,34,0.093472,0.054708
PtychoPINN,35,0.044741,0.063844
PtychoPINN,36,0.017401,0.248197
PtychoPINN,37,0.137670,0.184573
PtychoPINN,38,0.029539,0.228459
PtychoPINN,39,0.094360,0.092981
PtychoPINN,40,0.325877,0.002191
PtychoPINN,41,0.141289,0.443501
