model,metric,amplitude,phase,value
PtychoPINN,mae,0.194447,0.541859,
PtychoPINN,mse,0.078796,0.450204,
PtychoPINN,psnr,59.165736,51.596711,
PtychoPINN,ssim,-0.003118,0.256343,
PtychoPINN,ms_ssim,0.164136,0.109278,
PtychoPINN,frc50,2.000000,1.000000,
Baseline,mae,0.168573,0.710425,
Baseline,mse,0.068550,0.659045,
Baseline,psnr,59.770707,49.941650,
Baseline,ssim,0.096538,0.318825,
Baseline,ms_ssim,0.050558,0.077058,
Baseline,frc50,2.000000,1.000000,
PtyChi,mae,0.178096,0.571601,
PtyChi,mse,0.052215,0.548831,
PtyChi,psnr,60.952865,50.736420,
PtyChi,ssim,-0.033429,0.241710,
PtyChi,ms_ssim,0.025218,0.252476,
PtyChi,frc50,1.000000,2.000000,
PtychoPINN,computation_time_s,,,2.368530
Baseline,computation_time_s,,,0.515759
