model,frequency_bin,amplitude_frc,phase_frc
Baseline,0,1.000000,1.000000
Baseline,1,0.616057,0.272241
Baseline,2,0.193643,0.320347
Baseline,3,0.524405,0.031974
Baseline,4,0.088061,0.108718
Baseline,5,0.084361,0.010913
Baseline,6,0.076019,0.254547
Baseline,7,0.086629,0.201038
Baseline,8,0.252840,0.017345
Baseline,9,0.161336,0.111200
Baseline,10,0.042425,0.133212
Baseline,11,0.067761,0.165986
Baseline,12,0.147112,0.178259
Baseline,13,0.220919,0.163994
Baseline,14,0.264412,0.155441
Baseline,15,0.069525,0.082886
Baseline,16,0.040959,0.123399
Baseline,17,0.127758,0.148510
Baseline,18,0.051962,0.086933
Baseline,19,0.074576,0.015241
Baseline,20,0.011295,0.097518
Baseline,21,0.098418,0.013942
Baseline,22,0.034791,0.181223
Baseline,23,0.012227,0.162790
Baseline,24,0.155964,0.105033
Baseline,25,0.209766,0.092451
Baseline,26,0.129824,0.094162
Baseline,27,0.118805,0.225086
Baseline,28,0.094669,0.029780
Baseline,29,0.035345,0.105190
Baseline,30,0.133781,0.032393
Baseline,31,0.093809,0.004239
Baseline,32,0.002295,0.150893
Baseline,33,0.058348,0.189422
Baseline,34,0.095130,0.014497
Baseline,35,0.216497,0.013237
Baseline,36,0.049647,0.043525
Baseline,37,0.088678,0.185959
Baseline,38,0.006673,0.153556
Baseline,39,0.097007,0.338935
Baseline,40,0.136573,0.085400
Baseline,41,0.494734,0.015050
Baseline,42,0.374974,0.491359
