model,frequency_bin,amplitude_frc,phase_frc
PtychoPINN,0,1.000000,1.000000
PtychoPINN,1,0.644318,0.116615
PtychoPINN,2,0.105897,0.259766
PtychoPINN,3,0.384197,0.596203
PtychoPINN,4,0.004896,0.646726
PtychoPINN,5,0.141980,0.174540
PtychoPINN,6,0.147022,0.103659
PtychoPINN,7,0.023491,0.364559
PtychoPINN,8,0.302630,0.157569
PtychoPINN,9,0.138993,0.485978
PtychoPINN,10,0.041268,0.471870
PtychoPINN,11,0.295420,0.300062
PtychoPINN,12,0.140223,0.391078
PtychoPINN,13,0.060028,0.023653
PtychoPINN,14,0.192743,0.145689
PtychoPINN,15,0.008543,0.230344
PtychoPINN,16,0.026387,0.210866
PtychoPINN,17,0.127384,0.059971
PtychoPINN,18,0.032667,0.170252
PtychoPINN,19,0.069578,0.188723
PtychoPINN,20,0.005402,0.169999
PtychoPINN,21,0.118392,0.110332
PtychoPINN,22,0.066105,0.096454
PtychoPINN,23,0.060721,0.049180
PtychoPINN,24,0.206452,0.214641
PtychoPINN,25,0.201655,0.058433
PtychoPINN,26,0.097224,0.055162
PtychoPINN,27,0.119851,0.061343
PtychoPINN,28,0.069833,0.146580
PtychoPINN,29,0.000253,0.129554
PtychoPINN,30,0.173203,0.012755
PtychoPINN,31,0.006068,0.020581
PtychoPINN,32,0.026950,0.120184
PtychoPINN,33,0.090381,0.169994
PtychoPINN,34,0.121114,0.022242
PtychoPINN,35,0.182888,0.176098
PtychoPINN,36,0.086558,0.076035
PtychoPINN,37,0.083088,0.166817
PtychoPINN,38,0.066025,0.225087
PtychoPINN,39,0.122060,0.201284
PtychoPINN,40,0.183326,0.213578
PtychoPINN,41,0.139911,0.793379
PtychoPINN,42,0.552138,0.314339
