model,metric,amplitude,phase,value
PtychoPINN,mae,0.602976,0.542502,
PtychoPINN,mse,0.429515,0.433090,
PtychoPINN,psnr,51.801024,51.765022,
PtychoPINN,ssim,0.013783,0.321854,
PtychoPINN,ms_ssim,0.015250,0.275836,
PtychoPINN,frc50,2.000000,1.000000,
Baseline,mae,0.600549,1.020528,
Baseline,mse,0.404481,1.390601,
Baseline,psnr,52.061824,46.698778,
Baseline,ssim,0.036477,0.212952,
Baseline,ms_ssim,0.000860,0.075588,
Baseline,frc50,2.000000,1.000000,
PtyChi,mae,0.196883,0.678401,
PtyChi,mse,0.063900,0.795064,
PtyChi,psnr,60.075790,49.126784,
PtyChi,ssim,0.058944,0.179033,
PtyChi,ms_ssim,0.159874,0.003276,
PtyChi,frc50,2.000000,1.000000,
PtychoPINN,computation_time_s,,,1.943101
Baseline,computation_time_s,,,0.263799
