model,frequency_bin,amplitude_frc,phase_frc
PtychoPINN,0,1.000000,1.000000
PtychoPINN,1,0.176696,0.027029
PtychoPINN,2,0.446427,0.525197
PtychoPINN,3,0.168565,0.308966
PtychoPINN,4,0.272079,0.047937
PtychoPINN,5,0.078247,0.444168
PtychoPINN,6,0.047817,0.136494
PtychoPINN,7,0.280514,0.472996
PtychoPINN,8,0.432707,0.810586
PtychoPINN,9,0.152363,0.194883
PtychoPINN,10,0.366845,0.235192
PtychoPINN,11,0.064954,0.122111
PtychoPINN,12,0.025572,0.014124
PtychoPINN,13,0.002793,0.083055
PtychoPINN,14,0.012511,0.049153
PtychoPINN,15,0.127597,0.055417
PtychoPINN,16,0.111101,0.091040
PtychoPINN,17,0.030428,0.034475
PtychoPINN,18,0.085415,0.141632
PtychoPINN,19,0.033843,0.124009
PtychoPINN,20,0.229926,0.001244
PtychoPINN,21,0.002990,0.089889
PtychoPINN,22,0.108583,0.016236
PtychoPINN,23,0.055681,0.003603
PtychoPINN,24,0.304435,0.006331
PtychoPINN,25,0.122814,0.029600
PtychoPINN,26,0.060884,0.050043
PtychoPINN,27,0.017049,0.031067
PtychoPINN,28,0.275992,0.081588
PtychoPINN,29,0.037912,0.084609
PtychoPINN,30,0.119406,0.085818
PtychoPINN,31,0.128477,0.086805
PtychoPINN,32,0.116451,0.066817
PtychoPINN,33,0.160923,0.000794
PtychoPINN,34,0.060131,0.064116
PtychoPINN,35,0.096917,0.174572
PtychoPINN,36,0.018131,0.249082
PtychoPINN,37,0.124488,0.233984
PtychoPINN,38,0.225957,0.771421
