model,metric,amplitude,phase,value
PtychoPINN,mae,0.175735,0.641024,
PtychoPINN,mse,0.057697,0.670778,
PtychoPINN,psnr,60.519282,49.865016,
PtychoPINN,ssim,-0.004441,0.175404,
PtychoPINN,ms_ssim,0.254615,0.229214,
PtychoPINN,frc50,1.000000,1.000000,
Baseline,mae,0.174990,0.670165,
Baseline,mse,0.071006,0.772256,
Baseline,psnr,59.617833,49.253193,
Baseline,ssim,0.052517,0.281955,
Baseline,ms_ssim,0.010387,0.144309,
Baseline,frc50,1.000000,1.000000,
PtyChi,mae,0.163770,0.509746,
PtyChi,mse,0.045033,0.454444,
PtyChi,psnr,61.595482,51.556003,
PtyChi,ssim,0.246578,0.301745,
PtyChi,ms_ssim,0.131637,0.431464,
PtyChi,frc50,1.000000,4.000000,
PtychoPINN,registration_offset_dy,,,-1.920000
PtychoPINN,registration_offset_dx,,,-0.260000
Baseline,registration_offset_dy,,,-0.980000
Baseline,registration_offset_dx,,,16.040001
PtyChi,registration_offset_dy,,,1.000000
PtyChi,registration_offset_dx,,,21.980000
PtychoPINN,computation_time_s,,,2.386812
Baseline,computation_time_s,,,0.524988
