model,frequency_bin,amplitude_frc,phase_frc
PtychoPINN,0,1.000000,1.000000
PtychoPINN,1,0.405861,0.692875
PtychoPINN,2,0.209078,0.000003
PtychoPINN,3,0.242796,0.291893
PtychoPINN,4,0.024637,0.254044
PtychoPINN,5,0.400827,0.278367
PtychoPINN,6,0.087673,0.236695
PtychoPINN,7,0.324134,0.375666
PtychoPINN,8,0.145842,0.329868
PtychoPINN,9,0.178150,0.029317
PtychoPINN,10,0.084228,0.141405
PtychoPINN,11,0.241103,0.133159
PtychoPINN,12,0.295921,0.229924
PtychoPINN,13,0.203863,0.313223
PtychoPINN,14,0.438310,0.075350
PtychoPINN,15,0.317422,0.299208
PtychoPINN,16,0.299568,0.074876
PtychoPINN,17,0.251034,0.039329
PtychoPINN,18,0.072247,0.094603
PtychoPINN,19,0.101260,0.212257
PtychoPINN,20,0.530798,0.679951
