model,frequency_bin,amplitude_frc,phase_frc
Baseline,0,1.000000,1.000000
Baseline,1,0.315208,0.326157
Baseline,2,0.292719,0.609344
Baseline,3,0.233499,0.190375
Baseline,4,0.045007,0.057201
Baseline,5,0.306044,0.315200
Baseline,6,0.215085,0.110277
Baseline,7,0.292219,0.253991
Baseline,8,0.306136,0.019158
Baseline,9,0.206441,0.057523
Baseline,10,0.004441,0.221152
Baseline,11,0.279750,0.093999
Baseline,12,0.342975,0.276588
Baseline,13,0.154610,0.473286
Baseline,14,0.444956,0.483289
Baseline,15,0.342112,0.010655
Baseline,16,0.255765,0.002835
Baseline,17,0.255859,0.077914
Baseline,18,0.006022,0.013155
Baseline,19,0.245049,0.127652
Baseline,20,0.507153,0.773806
