model,metric,amplitude,phase,value
PtychoPINN,mae,0.454915,0.468285,
PtychoPINN,mse,0.275353,0.350425,
PtychoPINN,psnr,53.731906,52.684855,
PtychoPINN,ssim,0.149455,0.347504,
PtychoPINN,ms_ssim,0.323079,0.418663,
PtychoPINN,frc50,1.000000,2.000000,
Baseline,mae,0.451462,0.983794,
Baseline,mse,0.255922,1.328818,
Baseline,psnr,54.049726,46.896149,
Baseline,ssim,0.088977,0.198297,
Baseline,ms_ssim,0.247632,0.004023,
Baseline,frc50,1.000000,1.000000,
PtyChi,mae,0.245099,0.780446,
PtyChi,mse,0.092162,0.918866,
PtyChi,psnr,58.485263,48.498280,
PtyChi,ssim,-0.124172,0.085768,
PtyChi,ms_ssim,0.003006,0.003961,
PtyChi,frc50,1.000000,1.000000,
PtychoPINN,computation_time_s,,,1.895740
Baseline,computation_time_s,,,0.245687
