model,frequency_bin,amplitude_frc,phase_frc
Baseline,0,1.000000,1.000000
Baseline,1,0.108834,0.026093
Baseline,2,0.015156,0.046636
Baseline,3,0.103669,0.283475
Baseline,4,0.247307,0.244961
Baseline,5,0.013662,0.000223
Baseline,6,0.040425,0.051340
Baseline,7,0.107813,0.040129
Baseline,8,0.185670,0.078909
Baseline,9,0.014844,0.100073
Baseline,10,0.213055,0.182388
Baseline,11,0.221844,0.281356
Baseline,12,0.072363,0.035737
Baseline,13,0.108404,0.242325
Baseline,14,0.066096,0.089781
Baseline,15,0.253235,0.225154
Baseline,16,0.063780,0.205632
Baseline,17,0.041148,0.120899
Baseline,18,0.075075,0.011121
Baseline,19,0.025479,0.052719
Baseline,20,0.182899,0.142992
Baseline,21,0.043550,0.181379
Baseline,22,0.082532,0.270657
Baseline,23,0.025315,0.013584
Baseline,24,0.283057,0.253605
Baseline,25,0.069894,0.251766
Baseline,26,0.051949,0.012963
Baseline,27,0.001277,0.072640
Baseline,28,0.008952,0.236710
Baseline,29,0.036982,0.073041
Baseline,30,0.087206,0.007608
Baseline,31,0.010258,0.164808
Baseline,32,0.185869,0.068974
Baseline,33,0.200495,0.252009
Baseline,34,1.000000,1.000000
