model,metric,amplitude,phase,value
PtychoPINN,mae,0.430925,0.575766,
PtychoPINN,mse,0.260458,0.465716,
PtychoPINN,psnr,53.973426,51.449589,
PtychoPINN,ssim,0.014687,0.287589,
PtychoPINN,ms_ssim,0.177155,0.358671,
PtychoPINN,frc50,1.000000,1.000000,
Baseline,mae,0.421415,0.983800,
Baseline,mse,0.239858,1.375385,
Baseline,psnr,54.331259,46.746560,
Baseline,ssim,0.042741,0.175861,
Baseline,ms_ssim,0.066337,0.180468,
Baseline,frc50,1.000000,1.000000,
PtyChi,mae,0.191598,0.634125,
PtyChi,mse,0.058616,0.660108,
PtyChi,psnr,60.450616,49.934654,
PtyChi,ssim,0.156280,0.306492,
PtyChi,ms_ssim,0.391742,0.469075,
PtyChi,frc50,1.000000,3.000000,
PtychoPINN,computation_time_s,,,1.915957
Baseline,computation_time_s,,,0.262790
