model,frequency_bin,amplitude_frc,phase_frc
PtychoPINN,0,1.000000,1.000000
PtychoPINN,1,0.503016,0.000896
PtychoPINN,2,0.208544,0.148019
PtychoPINN,3,0.242907,0.139060
PtychoPINN,4,0.037814,0.361929
PtychoPINN,5,0.136383,0.565994
PtychoPINN,6,0.236145,0.004444
PtychoPINN,7,0.133711,0.013017
PtychoPINN,8,0.173716,0.180550
PtychoPINN,9,0.005734,0.084742
PtychoPINN,10,0.518703,0.373453
PtychoPINN,11,0.088091,0.060434
PtychoPINN,12,0.264399,0.231172
PtychoPINN,13,0.014481,0.277929
PtychoPINN,14,0.075072,0.248239
PtychoPINN,15,0.331987,0.270271
PtychoPINN,16,0.130494,0.131289
PtychoPINN,17,0.161562,0.093005
PtychoPINN,18,0.014949,0.157491
PtychoPINN,19,0.171935,0.045760
PtychoPINN,20,0.136410,0.031790
PtychoPINN,21,0.065940,0.050835
PtychoPINN,22,0.151207,0.158964
PtychoPINN,23,0.231116,0.218490
PtychoPINN,24,0.288442,0.304915
PtychoPINN,25,0.235439,0.223605
PtychoPINN,26,0.120983,0.046289
PtychoPINN,27,0.075519,0.036944
PtychoPINN,28,0.131674,0.056177
PtychoPINN,29,0.010929,0.083435
PtychoPINN,30,0.226571,0.033602
PtychoPINN,31,0.024531,0.054189
PtychoPINN,32,0.005361,0.157388
PtychoPINN,33,0.117338,0.112374
PtychoPINN,34,0.022914,0.029458
PtychoPINN,35,0.255744,0.052738
PtychoPINN,36,0.256040,0.230844
PtychoPINN,37,0.197041,0.367342
PtychoPINN,38,1.000000,1.000000
