model,metric,amplitude,phase,value
PtychoPINN,mae,0.215610,0.601471,
PtychoPINN,mse,0.096403,0.555973,
PtychoPINN,psnr,58.289903,50.680270,
PtychoPINN,ssim,0.111813,0.185228,
PtychoPINN,ms_ssim,0.027559,0.001843,
PtychoPINN,frc50,2.000000,1.000000,
Baseline,mae,0.190210,0.787424,
Baseline,mse,0.084291,0.822830,
Baseline,psnr,58.872989,48.977700,
Baseline,ssim,0.097212,0.284414,
Baseline,ms_ssim,0.016298,0.011805,
Baseline,frc50,1.000000,1.000000,
PtyChi,mae,0.178427,0.632372,
PtyChi,mse,0.051767,0.642635,
PtyChi,psnr,60.990236,50.051159,
PtyChi,ssim,0.029705,0.155257,
PtyChi,ms_ssim,0.073151,0.153951,
PtyChi,frc50,1.000000,3.000000,
PtychoPINN,computation_time_s,,,2.117174
Baseline,computation_time_s,,,0.370794
