model,metric,amplitude,phase,value
PtychoPINN,mae,0.160418,0.665725,
PtychoPINN,mse,0.042937,0.696717,
PtychoPINN,psnr,61.802507,49.700240,
PtychoPINN,ssim,0.278091,0.301936,
PtychoPINN,ms_ssim,0.631616,0.505851,
PtychoPINN,frc50,1.000000,1.000000,
Baseline,mae,0.165040,0.638473,
Baseline,mse,0.041664,0.554254,
Baseline,psnr,61.933146,50.693713,
Baseline,ssim,0.015689,0.186307,
Baseline,ms_ssim,0.061245,0.390674,
Baseline,frc50,1.000000,2.000000,
PtyChi,mae,,,
PtyChi,mse,,,
PtyChi,psnr,,,
PtyChi,ssim,,,
PtyChi,ms_ssim,,,
PtyChi,frc50,,,
PtychoPINN,computation_time_s,,,1.878153
Baseline,computation_time_s,,,0.230318
