model,metric,amplitude,phase,value
PtychoPINN,mae,1.150077,0.521799,
PtychoPINN,mse,1.915934,0.418491,
PtychoPINN,psnr,45.306998,51.913947,
PtychoPINN,ssim,0.000328,0.286038,
PtychoPINN,ms_ssim,0.030791,0.080701,
PtychoPINN,frc50,1.000000,4.000000,
Baseline,mae,1.150077,0.864276,
Baseline,mse,1.832539,1.259712,
Baseline,psnr,45.500272,47.128091,
Baseline,ssim,0.007488,0.286173,
Baseline,ms_ssim,0.023569,0.015418,
Baseline,frc50,1.000000,1.000000,
PtyChi,mae,0.182158,0.788153,
PtyChi,mse,0.054111,1.022713,
PtyChi,psnr,60.797920,48.033264,
PtyChi,ssim,0.001807,0.054573,
PtyChi,ms_ssim,0.181292,0.000341,
PtyChi,frc50,2.000000,1.000000,
PtychoPINN,computation_time_s,,,1.889247
Baseline,computation_time_s,,,0.235005
