model,metric,amplitude,phase,value
PtychoPINN,mae,0.620696,0.466749,
PtychoPINN,mse,0.440336,0.387968,
PtychoPINN,psnr,51.692958,52.242849,
PtychoPINN,ssim,0.125532,0.450844,
PtychoPINN,ms_ssim,0.017665,0.474148,
PtychoPINN,frc50,1.000000,2.000000,
Baseline,mae,0.618584,1.056970,
Baseline,mse,0.419646,1.445799,
Baseline,psnr,51.901972,46.529725,
Baseline,ssim,0.022371,0.132970,
Baseline,ms_ssim,0.016647,0.003816,
Baseline,frc50,1.000000,1.000000,
PtyChi,mae,0.197612,0.860142,
PtyChi,mse,0.061218,1.057739,
PtyChi,psnr,60.262018,47.887019,
PtyChi,ssim,-0.018943,0.106596,
PtyChi,ms_ssim,0.141915,0.003920,
PtyChi,frc50,1.000000,1.000000,
PtychoPINN,computation_time_s,,,1.895445
Baseline,computation_time_s,,,0.230120
