model,metric,amplitude,phase,value
PtychoPINN,mae,0.604957,0.743291,
PtychoPINN,mse,0.528440,0.773709,
PtychoPINN,psnr,50.900846,49.245026,
PtychoPINN,ssim,0.033927,0.270293,
PtychoPINN,ms_ssim,0.080364,0.166675,
PtychoPINN,frc50,1.000000,1.000000,
Baseline,mae,0.579774,0.859863,
Baseline,mse,0.485310,1.097243,
Baseline,psnr,51.270612,47.727777,
Baseline,ssim,0.111298,0.340059,
Baseline,ms_ssim,0.127205,0.188801,
Baseline,frc50,1.000000,1.000000,
PtyChi,mae,0.223256,1.085734,
PtyChi,mse,0.081249,2.854153,
PtyChi,psnr,59.032627,43.576031,
PtyChi,ssim,-0.045056,0.180099,
PtyChi,ms_ssim,0.064292,0.124678,
PtyChi,frc50,1.000000,2.000000,
PtychoPINN,computation_time_s,,,1.521268
Baseline,computation_time_s,,,0.561844
