profile_id,status,err_RMSE,err_nRMSE,relative_l2,fRMSE_low,fRMSE_mid,fRMSE_high,parameter_count,run_root,source_document,epochs,training_loss,batch_size
spectral_resnet_bottleneck_base,completed,1.3354917764663696,0.055261120200157166,0.055261120200157166,3.129964590072632,0.2410842925310135,0.3531905710697174,8391814,.artifacts/NEURIPS-HYBRID-RESNET-2026/phase-2-pdebench-cns-hybrid-spectral-architecture-ablation/cns-hybrid-spectral-depth-shared-40ep-20260428T043715Z,fresh_run,40,mse,4
spectral_resnet_bottleneck_shared_blocks8,completed,1.8558353185653687,0.07679233700037003,0.07679233700037003,4.386180877685547,0.266807496547699,0.35496786236763,8983174,.artifacts/NEURIPS-HYBRID-RESNET-2026/phase-2-pdebench-cns-hybrid-spectral-architecture-ablation/cns-hybrid-spectral-depth-shared-40ep-20260428T043715Z,fresh_run,40,mse,4
spectral_resnet_bottleneck_shared_blocks10,completed,1.3144866228103638,0.054391950368881226,0.054391950368881226,3.083242177963257,0.23262734711170197,0.3401203751564026,9574534,.artifacts/NEURIPS-HYBRID-RESNET-2026/phase-2-pdebench-cns-hybrid-spectral-architecture-ablation/cns-hybrid-spectral-depth-shared-40ep-20260428T043715Z,fresh_run,40,mse,4
hybrid_resnet_cns,completed,1.5567935705184937,0.06441833078861237,0.06441833078861237,3.6567487716674805,0.2804315388202667,0.36830681562423706,7998597,.artifacts/NEURIPS-HYBRID-RESNET-2026/phase-2-pdebench-cns-markov-history1-compare/history2-hybrid-cns-pilot-40ep-20260423T223143Z,docs/plans/NEURIPS-HYBRID-RESNET-2026/pdebench_cns_markov_history1_compare_summary.md,40,mse,4
fno_base,completed,1.7907506227493286,0.07409921288490295,0.07409921288490295,4.16710090637207,0.23907285928726196,0.6717720627784729,357860,.artifacts/NEURIPS-HYBRID-RESNET-2026/phase-2-pdebench-2d-cfd-cns/readiness-cap-20260421T185926Z-40ep-mse,docs/plans/NEURIPS-HYBRID-RESNET-2026/pdebench_2d_cfd_cns_summary.md,40,mse,4
unet_strong,completed,16.331954956054688,0.6757976412773132,0.6757976412773132,38.979515075683594,0.5071899890899658,1.332625389099121,7764580,.artifacts/NEURIPS-HYBRID-RESNET-2026/phase-2-pdebench-2d-cfd-cns/readiness-cap-20260421T185926Z-40ep-mse,docs/plans/NEURIPS-HYBRID-RESNET-2026/pdebench_2d_cfd_cns_summary.md,40,mse,4
