model,frequency_bin,amplitude_frc,phase_frc
Baseline,0,1.000000,1.000000
Baseline,1,0.185596,0.235205
Baseline,2,0.500336,0.411950
Baseline,3,0.072106,0.229698
Baseline,4,0.068068,0.179924
Baseline,5,0.187250,0.109411
Baseline,6,0.304904,0.214531
Baseline,7,0.167978,0.011684
Baseline,8,0.027845,0.260488
Baseline,9,0.079331,0.081190
Baseline,10,0.034324,0.068116
Baseline,11,0.011134,0.019565
Baseline,12,0.030985,0.043432
Baseline,13,0.009103,0.103054
Baseline,14,0.250381,0.199239
Baseline,15,0.056927,0.017056
Baseline,16,0.222343,0.085129
Baseline,17,0.055074,0.056561
Baseline,18,0.242524,0.048352
Baseline,19,0.065116,0.053755
Baseline,20,0.018546,0.000051
Baseline,21,0.145532,0.006436
Baseline,22,0.201973,0.038598
Baseline,23,0.036950,0.033372
Baseline,24,0.034230,0.163119
Baseline,25,0.026893,0.235775
Baseline,26,0.133551,0.061283
Baseline,27,0.068437,0.105005
Baseline,28,0.019342,0.103846
Baseline,29,0.037841,0.018201
Baseline,30,0.013059,0.032332
Baseline,31,0.151490,0.032486
Baseline,32,0.008831,0.031883
Baseline,33,0.095580,0.090920
Baseline,34,0.013611,0.117763
Baseline,35,0.075338,0.120567
Baseline,36,0.056102,0.062451
Baseline,37,0.085432,0.048577
Baseline,38,0.079248,0.096002
Baseline,39,0.167753,0.024361
Baseline,40,0.126277,0.066452
Baseline,41,0.059914,0.066079
Baseline,42,0.120370,0.214169
Baseline,43,0.111694,0.149790
Baseline,44,0.050419,0.010945
Baseline,45,0.096447,0.046230
Baseline,46,0.086735,0.095956
Baseline,47,0.129926,0.043489
Baseline,48,0.077154,0.041225
Baseline,49,0.108690,0.064967
Baseline,50,0.058981,0.022232
Baseline,51,0.023288,0.147730
Baseline,52,0.049502,0.081330
Baseline,53,0.123618,0.115864
Baseline,54,0.125818,0.002605
Baseline,55,0.196020,0.002211
Baseline,56,0.059259,0.060324
Baseline,57,0.073906,0.227868
Baseline,58,0.074606,0.180903
Baseline,59,0.056000,0.050616
Baseline,60,0.216788,0.182797
Baseline,61,0.106750,0.074866
Baseline,62,0.215901,0.437255
Baseline,63,0.312871,0.211555
Baseline,64,1.000000,1.000000
