model,frequency_bin,amplitude_frc,phase_frc
PtychoPINN,0,1.000000,
PtychoPINN,1,0.048560,
PtychoPINN,2,0.417091,
PtychoPINN,3,0.041635,
PtychoPINN,4,0.002595,
PtychoPINN,5,0.024648,
PtychoPINN,6,0.023428,
PtychoPINN,7,0.094723,
PtychoPINN,8,0.157075,
PtychoPINN,9,0.174334,
PtychoPINN,10,0.010953,
PtychoPINN,11,0.060992,
PtychoPINN,12,0.134286,
PtychoPINN,13,0.035901,
PtychoPINN,14,0.116520,
PtychoPINN,15,0.020143,
PtychoPINN,16,0.050969,
PtychoPINN,17,0.003111,
PtychoPINN,18,0.112149,
PtychoPINN,19,0.024552,
PtychoPINN,20,0.036675,
PtychoPINN,21,0.125571,
PtychoPINN,22,0.051960,
PtychoPINN,23,0.140340,
PtychoPINN,24,0.072962,
PtychoPINN,25,0.164534,
PtychoPINN,26,0.053199,
PtychoPINN,27,0.116773,
PtychoPINN,28,0.014403,
PtychoPINN,29,0.069573,
PtychoPINN,30,0.034437,
PtychoPINN,31,0.047637,
PtychoPINN,32,0.088641,
PtychoPINN,33,0.048635,
PtychoPINN,34,0.004382,
PtychoPINN,35,0.028627,
PtychoPINN,36,0.017090,
PtychoPINN,37,0.117782,
PtychoPINN,38,0.024266,
PtychoPINN,39,0.021944,
PtychoPINN,40,0.143244,
PtychoPINN,41,0.026035,
PtychoPINN,42,0.091772,
PtychoPINN,43,0.119627,
PtychoPINN,44,0.006764,
PtychoPINN,45,0.055695,
PtychoPINN,46,0.088902,
PtychoPINN,47,0.126087,
PtychoPINN,48,0.040493,
PtychoPINN,49,0.116194,
PtychoPINN,50,0.036409,
PtychoPINN,51,0.037397,
PtychoPINN,52,0.134029,
PtychoPINN,53,0.079158,
PtychoPINN,54,0.093726,
PtychoPINN,55,0.185031,
PtychoPINN,56,0.137045,
PtychoPINN,57,0.047381,
PtychoPINN,58,0.001491,
PtychoPINN,59,0.140650,
PtychoPINN,60,0.022929,
PtychoPINN,61,0.035778,
PtychoPINN,62,0.078486,
PtychoPINN,63,0.215751,
PtychoPINN,64,0.010180,
PtychoPINN,65,0.013508,
PtychoPINN,66,0.025080,
PtychoPINN,67,0.053520,
PtychoPINN,68,0.028012,
PtychoPINN,69,0.129565,
PtychoPINN,70,0.047493,
PtychoPINN,71,0.089860,
PtychoPINN,72,0.044395,
PtychoPINN,73,0.289272,
PtychoPINN,74,0.049057,
PtychoPINN,75,0.037688,
PtychoPINN,76,0.034778,
PtychoPINN,77,0.076067,
PtychoPINN,78,0.103353,
PtychoPINN,79,0.033887,
PtychoPINN,80,0.078985,
PtychoPINN,81,0.091572,
PtychoPINN,82,0.101938,
PtychoPINN,83,0.168357,
PtychoPINN,84,0.032854,
PtychoPINN,85,0.079679,
PtychoPINN,86,0.024886,
PtychoPINN,87,0.041411,
PtychoPINN,88,0.118456,
PtychoPINN,89,0.058829,
PtychoPINN,90,0.046667,
PtychoPINN,91,0.008098,
PtychoPINN,92,0.042175,
PtychoPINN,93,0.052185,
PtychoPINN,94,0.030216,
PtychoPINN,95,0.078082,
PtychoPINN,96,0.063442,
PtychoPINN,97,0.043819,
PtychoPINN,98,0.084063,
PtychoPINN,99,0.054363,
PtychoPINN,100,0.096687,
PtychoPINN,101,0.025237,
PtychoPINN,102,0.111299,
PtychoPINN,103,0.039988,
PtychoPINN,104,0.172893,
PtychoPINN,105,0.058195,
PtychoPINN,106,0.005902,
PtychoPINN,107,0.060640,
PtychoPINN,108,0.152805,
PtychoPINN,109,0.024674,
PtychoPINN,110,0.060457,
PtychoPINN,111,0.171679,
PtychoPINN,112,0.174031,
PtychoPINN,113,0.007733,
PtychoPINN,114,0.224321,
PtychoPINN,115,0.090148,
PtychoPINN,116,0.029845,
PtychoPINN,117,0.167825,
PtychoPINN,118,0.219287,
PtychoPINN,119,0.355289,
PtychoPINN,120,0.079799,
