model,metric,amplitude,phase,value
PtychoPINN,mae,0.025456,0.043360,
PtychoPINN,mse,0.011165,0.059705,
PtychoPINN,psnr,67.652336,60.370676,
PtychoPINN,ssim,,0.967899,
PtychoPINN,ms_ssim,0.871121,0.952168,
PtychoPINN,frc50,2.000000,,
PtychoPINN,registration_offset_dy,,,26.180000
PtychoPINN,registration_offset_dx,,,-0.120000
PtychoPINN,computation_time_s,,,4.040689
