model,frequency_bin,amplitude_frc,phase_frc
PtychoPINN,0,1.000000,
PtychoPINN,1,0.752640,
PtychoPINN,2,0.323604,
PtychoPINN,3,0.459183,
PtychoPINN,4,0.188215,
PtychoPINN,5,0.134193,
PtychoPINN,6,0.026774,
PtychoPINN,7,0.052056,
PtychoPINN,8,0.049823,
PtychoPINN,9,0.016236,
PtychoPINN,10,0.144105,
PtychoPINN,11,0.082920,
PtychoPINN,12,0.252329,
PtychoPINN,13,0.027000,
PtychoPINN,14,0.086249,
PtychoPINN,15,0.044819,
PtychoPINN,16,0.161404,
PtychoPINN,17,0.050250,
PtychoPINN,18,0.008719,
PtychoPINN,19,0.046546,
PtychoPINN,20,0.073728,
PtychoPINN,21,0.039774,
PtychoPINN,22,0.061524,
PtychoPINN,23,0.047574,
PtychoPINN,24,0.051945,
PtychoPINN,25,0.026842,
PtychoPINN,26,0.063767,
PtychoPINN,27,0.042999,
PtychoPINN,28,0.068689,
PtychoPINN,29,0.029878,
PtychoPINN,30,0.080168,
PtychoPINN,31,0.006685,
PtychoPINN,32,0.035545,
PtychoPINN,33,0.039774,
PtychoPINN,34,0.164746,
PtychoPINN,35,0.105644,
PtychoPINN,36,0.010833,
PtychoPINN,37,0.046173,
PtychoPINN,38,0.080333,
PtychoPINN,39,0.097573,
PtychoPINN,40,0.070093,
PtychoPINN,41,0.041655,
PtychoPINN,42,0.075740,
PtychoPINN,43,0.089998,
PtychoPINN,44,0.007055,
PtychoPINN,45,0.083049,
PtychoPINN,46,0.099890,
PtychoPINN,47,0.002804,
PtychoPINN,48,0.025844,
PtychoPINN,49,0.055344,
PtychoPINN,50,0.005446,
PtychoPINN,51,0.036832,
PtychoPINN,52,0.036519,
PtychoPINN,53,0.080706,
PtychoPINN,54,0.013424,
PtychoPINN,55,0.107325,
PtychoPINN,56,0.148099,
PtychoPINN,57,0.017996,
PtychoPINN,58,0.054860,
PtychoPINN,59,0.073716,
PtychoPINN,60,0.237151,
PtychoPINN,61,0.090252,
PtychoPINN,62,0.064926,
PtychoPINN,63,0.013391,
PtychoPINN,64,0.051380,
PtychoPINN,65,0.116484,
PtychoPINN,66,0.267977,
PtychoPINN,67,0.096941,
PtychoPINN,68,0.076397,
PtychoPINN,69,0.007396,
PtychoPINN,70,0.024155,
PtychoPINN,71,0.132581,
PtychoPINN,72,0.008429,
PtychoPINN,73,0.111986,
PtychoPINN,74,0.032361,
PtychoPINN,75,0.048838,
PtychoPINN,76,0.111824,
PtychoPINN,77,0.072598,
PtychoPINN,78,0.081425,
PtychoPINN,79,0.110664,
PtychoPINN,80,0.099429,
PtychoPINN,81,0.027594,
PtychoPINN,82,0.157691,
PtychoPINN,83,0.096763,
PtychoPINN,84,0.134905,
PtychoPINN,85,0.029213,
PtychoPINN,86,0.037996,
PtychoPINN,87,0.019813,
PtychoPINN,88,0.011995,
PtychoPINN,89,0.016364,
PtychoPINN,90,0.067399,
PtychoPINN,91,0.037198,
PtychoPINN,92,0.010331,
PtychoPINN,93,0.046609,
PtychoPINN,94,0.000125,
PtychoPINN,95,0.100483,
PtychoPINN,96,0.091671,
PtychoPINN,97,0.165104,
PtychoPINN,98,0.126140,
PtychoPINN,99,0.035370,
PtychoPINN,100,0.066321,
PtychoPINN,101,0.132248,
PtychoPINN,102,0.045793,
PtychoPINN,103,0.014036,
PtychoPINN,104,0.011591,
PtychoPINN,105,0.026007,
PtychoPINN,106,0.154894,
PtychoPINN,107,0.001884,
PtychoPINN,108,0.068289,
PtychoPINN,109,0.147411,
PtychoPINN,110,0.034660,
PtychoPINN,111,0.028939,
PtychoPINN,112,0.021593,
PtychoPINN,113,0.129597,
PtychoPINN,114,0.278721,
PtychoPINN,115,0.018093,
PtychoPINN,116,0.010039,
PtychoPINN,117,0.016359,
PtychoPINN,118,0.150566,
PtychoPINN,119,1.000000,
