model,frequency_bin,amplitude_frc,phase_frc
PtychoPINN,0,1.000000,
PtychoPINN,1,,
PtychoPINN,2,0.232606,
PtychoPINN,3,inf,
PtychoPINN,4,0.271289,
PtychoPINN,5,,
PtychoPINN,6,0.067026,
PtychoPINN,7,inf,
PtychoPINN,8,0.303115,
PtychoPINN,9,inf,
PtychoPINN,10,0.122385,
PtychoPINN,11,inf,
PtychoPINN,12,0.328514,
PtychoPINN,13,inf,
PtychoPINN,14,0.086326,
PtychoPINN,15,inf,
PtychoPINN,16,0.290012,
PtychoPINN,17,inf,
PtychoPINN,18,0.242963,
PtychoPINN,19,inf,
PtychoPINN,20,0.213264,
PtychoPINN,21,inf,
PtychoPINN,22,0.060818,
PtychoPINN,23,inf,
PtychoPINN,24,0.346561,
PtychoPINN,25,inf,
PtychoPINN,26,0.186360,
PtychoPINN,27,inf,
PtychoPINN,28,0.130391,
PtychoPINN,29,inf,
PtychoPINN,30,0.052365,
PtychoPINN,31,inf,
PtychoPINN,32,0.273241,
PtychoPINN,33,inf,
PtychoPINN,34,0.106770,
PtychoPINN,35,inf,
PtychoPINN,36,0.088125,
PtychoPINN,37,inf,
PtychoPINN,38,0.019481,
PtychoPINN,39,inf,
PtychoPINN,40,0.193049,
PtychoPINN,41,inf,
PtychoPINN,42,0.127894,
PtychoPINN,43,inf,
PtychoPINN,44,0.042332,
PtychoPINN,45,inf,
PtychoPINN,46,0.101953,
PtychoPINN,47,inf,
PtychoPINN,48,0.216827,
PtychoPINN,49,inf,
PtychoPINN,50,0.001306,
PtychoPINN,51,inf,
PtychoPINN,52,0.002984,
PtychoPINN,53,inf,
PtychoPINN,54,0.186954,
PtychoPINN,55,inf,
PtychoPINN,56,0.250335,
PtychoPINN,57,inf,
PtychoPINN,58,0.026965,
PtychoPINN,59,inf,
PtychoPINN,60,0.058011,
PtychoPINN,61,inf,
PtychoPINN,62,0.168856,
PtychoPINN,63,inf,
PtychoPINN,64,0.277330,
PtychoPINN,65,inf,
PtychoPINN,66,0.097747,
PtychoPINN,67,inf,
PtychoPINN,68,0.031597,
PtychoPINN,69,inf,
PtychoPINN,70,0.098475,
PtychoPINN,71,inf,
PtychoPINN,72,0.208097,
PtychoPINN,73,inf,
PtychoPINN,74,0.081738,
PtychoPINN,75,inf,
PtychoPINN,76,0.008777,
PtychoPINN,77,inf,
PtychoPINN,78,0.105786,
PtychoPINN,79,inf,
PtychoPINN,80,0.198055,
PtychoPINN,81,inf,
PtychoPINN,82,0.152411,
PtychoPINN,83,inf,
PtychoPINN,84,0.031275,
PtychoPINN,85,inf,
PtychoPINN,86,0.050534,
PtychoPINN,87,inf,
PtychoPINN,88,0.199668,
PtychoPINN,89,inf,
PtychoPINN,90,inf,
PtychoPINN,91,inf,
PtychoPINN,92,inf,
PtychoPINN,93,inf,
PtychoPINN,94,inf,
PtychoPINN,95,inf,
PtychoPINN,96,inf,
PtychoPINN,97,inf,
PtychoPINN,98,inf,
PtychoPINN,99,inf,
PtychoPINN,100,inf,
PtychoPINN,101,inf,
PtychoPINN,102,inf,
PtychoPINN,103,inf,
PtychoPINN,104,inf,
PtychoPINN,105,inf,
PtychoPINN,106,inf,
PtychoPINN,107,inf,
PtychoPINN,108,inf,
PtychoPINN,109,inf,
PtychoPINN,110,inf,
PtychoPINN,111,inf,
PtychoPINN,112,inf,
PtychoPINN,113,inf,
PtychoPINN,114,inf,
PtychoPINN,115,inf,
PtychoPINN,116,inf,
PtychoPINN,117,inf,
PtychoPINN,118,inf,
PtychoPINN,119,inf,
PtychoPINN,120,inf,
PtychoPINN,121,,
PtychoPINN,122,inf,
PtychoPINN,123,inf,
PtychoPINN,124,inf,
PtychoPINN,125,,
PtychoPINN,126,,
