model,frequency_bin,amplitude_frc,phase_frc
Baseline,0,1.000000,1.000000
Baseline,1,0.802465,0.395087
Baseline,2,0.245636,0.379427
Baseline,3,0.245621,0.141967
Baseline,4,0.011664,0.039707
Baseline,5,0.078390,0.002807
Baseline,6,0.056848,0.071886
Baseline,7,0.113651,0.235173
Baseline,8,0.230551,0.213549
Baseline,9,0.332653,0.088178
Baseline,10,0.163862,0.074577
Baseline,11,0.118229,0.118665
Baseline,12,0.144737,0.054421
Baseline,13,0.107471,0.191090
Baseline,14,0.340280,0.262448
Baseline,15,0.115699,0.007869
Baseline,16,0.104539,0.032031
Baseline,17,0.125533,0.005011
Baseline,18,0.031729,0.046345
Baseline,19,0.007953,0.097972
Baseline,20,0.092469,0.031572
Baseline,21,0.016640,0.113020
Baseline,22,0.126472,0.003650
Baseline,23,0.204024,0.057681
Baseline,24,0.135893,0.019442
Baseline,25,0.119620,0.081124
Baseline,26,0.012006,0.001643
Baseline,27,0.096342,0.273152
Baseline,28,0.024734,0.123240
Baseline,29,0.047231,0.016213
Baseline,30,0.149109,0.023782
Baseline,31,0.005818,0.036193
Baseline,32,0.031694,0.134270
Baseline,33,0.005565,0.205541
Baseline,34,0.090873,0.045111
Baseline,35,0.016437,0.012213
Baseline,36,0.117776,0.046733
Baseline,37,0.004656,0.061586
Baseline,38,0.009417,0.039960
Baseline,39,0.039400,0.005500
Baseline,40,0.021895,0.093362
Baseline,41,0.101149,0.020506
Baseline,42,0.345359,0.509293
