model,frequency_bin,amplitude_frc,phase_frc
PtychoPINN,0,1.000000,1.000000
PtychoPINN,1,0.742135,0.531214
PtychoPINN,2,0.015365,0.791745
PtychoPINN,3,0.103000,0.782457
PtychoPINN,4,0.003087,0.584507
PtychoPINN,5,0.116259,0.453839
PtychoPINN,6,0.193678,0.351785
PtychoPINN,7,0.022707,0.288255
PtychoPINN,8,0.041732,0.128862
PtychoPINN,9,0.092720,0.188820
PtychoPINN,10,0.121556,0.101095
PtychoPINN,11,0.150350,0.024012
PtychoPINN,12,0.195739,0.003742
PtychoPINN,13,0.191605,0.329690
PtychoPINN,14,0.287771,0.117575
PtychoPINN,15,0.161748,0.168715
PtychoPINN,16,0.160313,0.128671
PtychoPINN,17,0.020669,0.065824
PtychoPINN,18,0.100591,0.041639
PtychoPINN,19,0.010005,0.080434
PtychoPINN,20,0.185274,0.241068
PtychoPINN,21,0.045985,0.227406
PtychoPINN,22,0.123041,0.160208
PtychoPINN,23,0.230349,0.032011
PtychoPINN,24,0.113586,0.283578
PtychoPINN,25,0.174508,0.199514
PtychoPINN,26,0.072237,0.151601
PtychoPINN,27,0.061645,0.338198
PtychoPINN,28,0.001043,0.014049
PtychoPINN,29,0.082313,0.035745
PtychoPINN,30,0.126316,0.225627
PtychoPINN,31,0.010490,0.034015
PtychoPINN,32,0.063753,0.123840
PtychoPINN,33,0.002499,0.118029
PtychoPINN,34,0.038502,0.192380
PtychoPINN,35,0.037037,0.048786
PtychoPINN,36,0.140061,0.021418
PtychoPINN,37,0.057525,0.314373
PtychoPINN,38,0.025134,0.038247
PtychoPINN,39,0.230619,0.282931
PtychoPINN,40,0.038756,0.375299
PtychoPINN,41,0.084002,0.022078
PtychoPINN,42,0.424067,0.444064
