model,metric,amplitude,phase,value
PtychoPINN,mae,0.234297,0.515184,
PtychoPINN,mse,0.115042,0.410461,
PtychoPINN,psnr,57.522223,51.998086,
PtychoPINN,ssim,0.106620,0.325918,
PtychoPINN,ms_ssim,0.268015,0.327240,
PtychoPINN,frc50,2.000000,5.000000,
Baseline,mae,0.213071,0.735569,
Baseline,mse,0.106633,0.755545,
Baseline,psnr,57.851895,49.348200,
Baseline,ssim,0.072925,0.284086,
Baseline,ms_ssim,0.002431,0.075948,
Baseline,frc50,2.000000,1.000000,
PtyChi,mae,0.180829,0.501077,
PtyChi,mse,0.053899,0.416440,
PtyChi,psnr,60.814966,51.935280,
PtyChi,ssim,-0.069926,0.316303,
PtyChi,ms_ssim,0.353602,0.442382,
PtyChi,frc50,4.000000,1.000000,
PtychoPINN,computation_time_s,,,2.102666
Baseline,computation_time_s,,,0.367117
