model_id,model_label,N,mae_amp,mae_phase,mse_amp,mse_phase,psnr_amp,psnr_phase,ssim_amp,ssim_phase,ms_ssim_amp,ms_ssim_phase,frc50_amp,frc50_phase
pinn,PtychoPINN (CNN),128,0.1053030863404274,0.6960640538753358,0.01743887923657894,0.99169394540468,65.71561799784259,48.16702699156537,0.7933961704523254,0.31361348053125,0.9586532142151544,0.270285472124995,26.551099898362057,5.425518789108718
baseline,Baseline,128,0.40541312098503113,0.7573428351051108,0.2903938889503479,1.069186592172094,53.50092958838761,47.84026856903952,0.2734108279242426,0.5116607211775903,0.6745812896212353,0.3427636884355246,24.387378436626644,5.78227133333992
pinn_fno_vanilla,FNO Vanilla,128,0.12481639534235,0.1435395349328455,0.024000922217965126,0.032295907670301084,64.32852438158606,63.03932866159216,0.7409360685258843,0.9334635911261081,0.9396793013640758,0.7081420971284456,25.711232615241986,52.17392775302108
pinn_hybrid_resnet,Hybrid ResNet,128,0.026939474046230316,0.07206347709561367,0.00115118024405092,0.007788461505276771,77.51937067873057,69.21628683417748,0.9881142973635324,0.9947399866043689,0.9983514160086505,0.9711202506145622,135.46422193425383,106.80060877638415
