model,frequency_bin,amplitude_frc,phase_frc
PtychoPINN,0,1.000000,
PtychoPINN,1,0.174400,
PtychoPINN,2,0.097950,
PtychoPINN,3,0.345905,
PtychoPINN,4,0.310803,
PtychoPINN,5,0.250651,
PtychoPINN,6,0.181582,
PtychoPINN,7,0.006445,
PtychoPINN,8,0.123364,
PtychoPINN,9,0.158025,
PtychoPINN,10,0.153787,
PtychoPINN,11,0.139157,
PtychoPINN,12,0.256903,
PtychoPINN,13,0.068592,
PtychoPINN,14,0.025432,
PtychoPINN,15,0.263271,
PtychoPINN,16,0.044900,
PtychoPINN,17,0.066921,
PtychoPINN,18,0.012878,
PtychoPINN,19,0.010605,
PtychoPINN,20,0.018915,
PtychoPINN,21,0.167451,
PtychoPINN,22,0.071289,
PtychoPINN,23,0.166879,
PtychoPINN,24,0.047913,
PtychoPINN,25,0.000901,
PtychoPINN,26,0.081240,
PtychoPINN,27,0.167926,
PtychoPINN,28,0.115527,
PtychoPINN,29,0.061257,
PtychoPINN,30,0.029813,
PtychoPINN,31,0.088004,
PtychoPINN,32,0.023120,
PtychoPINN,33,0.146264,
PtychoPINN,34,0.066057,
PtychoPINN,35,0.052942,
PtychoPINN,36,0.221037,
PtychoPINN,37,0.124766,
PtychoPINN,38,0.000693,
PtychoPINN,39,0.005487,
PtychoPINN,40,0.016507,
PtychoPINN,41,0.084024,
PtychoPINN,42,0.085108,
PtychoPINN,43,0.083897,
PtychoPINN,44,0.023037,
PtychoPINN,45,0.048803,
PtychoPINN,46,0.079574,
PtychoPINN,47,0.009129,
PtychoPINN,48,0.286818,
PtychoPINN,49,0.008849,
PtychoPINN,50,0.081483,
PtychoPINN,51,0.012928,
PtychoPINN,52,0.015096,
PtychoPINN,53,0.255825,
PtychoPINN,54,0.204717,
PtychoPINN,55,0.120232,
PtychoPINN,56,0.003829,
PtychoPINN,57,0.093184,
PtychoPINN,58,0.052488,
PtychoPINN,59,0.012887,
PtychoPINN,60,0.129207,
PtychoPINN,61,0.290310,
PtychoPINN,62,0.137535,
PtychoPINN,63,0.050172,
PtychoPINN,64,0.054762,
PtychoPINN,65,0.005854,
PtychoPINN,66,0.315672,
PtychoPINN,67,0.061781,
PtychoPINN,68,0.446042,
PtychoPINN,69,0.184149,
PtychoPINN,70,0.197042,
PtychoPINN,71,0.028705,
PtychoPINN,72,0.049590,
PtychoPINN,73,0.223674,
PtychoPINN,74,0.177305,
PtychoPINN,75,0.136741,
PtychoPINN,76,0.166323,
PtychoPINN,77,0.007974,
PtychoPINN,78,0.131615,
PtychoPINN,79,0.027887,
PtychoPINN,80,0.044872,
PtychoPINN,81,0.038633,
PtychoPINN,82,0.023904,
PtychoPINN,83,0.085297,
PtychoPINN,84,0.090503,
PtychoPINN,85,0.084981,
PtychoPINN,86,0.045618,
PtychoPINN,87,0.188239,
PtychoPINN,88,0.226662,
PtychoPINN,89,0.026100,
PtychoPINN,90,0.113232,
PtychoPINN,91,0.139682,
PtychoPINN,92,0.103269,
PtychoPINN,93,0.037108,
PtychoPINN,94,0.213085,
PtychoPINN,95,0.018797,
PtychoPINN,96,0.127966,
PtychoPINN,97,0.048908,
PtychoPINN,98,0.052276,
PtychoPINN,99,0.029234,
PtychoPINN,100,0.220120,
PtychoPINN,101,0.296119,
PtychoPINN,102,0.008887,
PtychoPINN,103,0.112827,
PtychoPINN,104,0.403890,
PtychoPINN,105,0.498196,
PtychoPINN,106,0.088785,
PtychoPINN,107,0.556400,
