model,metric,amplitude,phase,value
PtychoPINN,mae,2.237682,0.708606,
PtychoPINN,mse,6.795000,1.115148,
PtychoPINN,psnr,39.808909,47.657477,
PtychoPINN,ssim,0.099712,0.550893,
PtychoPINN,ms_ssim,0.051262,0.174197,
PtychoPINN,frc50,1.000000,,
PtychoPINN,registration_offset_dy,,,-32.119999
PtychoPINN,registration_offset_dx,,,-67.980003
PtychoPINN,computation_time_s,,,4.381359
