model,frequency_bin,amplitude_frc,phase_frc
PtychoPINN,0,1.000000,
PtychoPINN,1,0.047914,
PtychoPINN,2,0.415777,
PtychoPINN,3,0.041120,
PtychoPINN,4,0.004573,
PtychoPINN,5,0.037521,
PtychoPINN,6,0.032123,
PtychoPINN,7,0.090420,
PtychoPINN,8,0.155243,
PtychoPINN,9,0.165814,
PtychoPINN,10,0.016229,
PtychoPINN,11,0.064442,
PtychoPINN,12,0.136589,
PtychoPINN,13,0.037463,
PtychoPINN,14,0.115963,
PtychoPINN,15,0.027450,
PtychoPINN,16,0.044255,
PtychoPINN,17,0.005788,
PtychoPINN,18,0.111977,
PtychoPINN,19,0.023967,
PtychoPINN,20,0.036289,
PtychoPINN,21,0.120463,
PtychoPINN,22,0.047598,
PtychoPINN,23,0.141984,
PtychoPINN,24,0.071439,
PtychoPINN,25,0.166646,
PtychoPINN,26,0.045769,
PtychoPINN,27,0.118825,
PtychoPINN,28,0.013127,
PtychoPINN,29,0.069465,
PtychoPINN,30,0.030794,
PtychoPINN,31,0.044320,
PtychoPINN,32,0.087137,
PtychoPINN,33,0.049155,
PtychoPINN,34,0.003627,
PtychoPINN,35,0.030251,
PtychoPINN,36,0.014413,
PtychoPINN,37,0.119021,
PtychoPINN,38,0.022780,
PtychoPINN,39,0.021023,
PtychoPINN,40,0.143304,
PtychoPINN,41,0.026130,
PtychoPINN,42,0.092745,
PtychoPINN,43,0.122020,
PtychoPINN,44,0.005292,
PtychoPINN,45,0.056277,
PtychoPINN,46,0.091037,
PtychoPINN,47,0.128778,
PtychoPINN,48,0.041142,
PtychoPINN,49,0.113008,
PtychoPINN,50,0.036488,
PtychoPINN,51,0.038972,
PtychoPINN,52,0.132973,
PtychoPINN,53,0.081781,
PtychoPINN,54,0.094911,
PtychoPINN,55,0.186896,
PtychoPINN,56,0.139169,
PtychoPINN,57,0.050197,
PtychoPINN,58,0.000305,
PtychoPINN,59,0.141633,
PtychoPINN,60,0.022575,
PtychoPINN,61,0.037216,
PtychoPINN,62,0.080008,
PtychoPINN,63,0.216563,
PtychoPINN,64,0.008007,
PtychoPINN,65,0.017015,
PtychoPINN,66,0.026590,
PtychoPINN,67,0.055717,
PtychoPINN,68,0.026454,
PtychoPINN,69,0.126788,
PtychoPINN,70,0.049188,
PtychoPINN,71,0.091239,
PtychoPINN,72,0.044045,
PtychoPINN,73,0.287079,
PtychoPINN,74,0.047739,
PtychoPINN,75,0.043067,
PtychoPINN,76,0.033919,
PtychoPINN,77,0.076914,
PtychoPINN,78,0.100957,
PtychoPINN,79,0.028849,
PtychoPINN,80,0.082127,
PtychoPINN,81,0.095514,
PtychoPINN,82,0.102469,
PtychoPINN,83,0.170764,
PtychoPINN,84,0.039463,
PtychoPINN,85,0.079706,
PtychoPINN,86,0.028643,
PtychoPINN,87,0.039824,
PtychoPINN,88,0.119973,
PtychoPINN,89,0.058761,
PtychoPINN,90,0.046775,
PtychoPINN,91,0.009114,
PtychoPINN,92,0.040890,
PtychoPINN,93,0.050355,
PtychoPINN,94,0.027323,
PtychoPINN,95,0.078551,
PtychoPINN,96,0.064008,
PtychoPINN,97,0.043804,
PtychoPINN,98,0.082229,
PtychoPINN,99,0.053861,
PtychoPINN,100,0.097432,
PtychoPINN,101,0.027463,
PtychoPINN,102,0.114095,
PtychoPINN,103,0.043495,
PtychoPINN,104,0.171765,
PtychoPINN,105,0.058567,
PtychoPINN,106,0.001974,
PtychoPINN,107,0.059778,
PtychoPINN,108,0.153798,
PtychoPINN,109,0.024489,
PtychoPINN,110,0.059477,
PtychoPINN,111,0.173516,
PtychoPINN,112,0.175283,
PtychoPINN,113,0.011434,
PtychoPINN,114,0.226332,
PtychoPINN,115,0.091544,
PtychoPINN,116,0.029874,
PtychoPINN,117,0.163554,
PtychoPINN,118,0.217837,
PtychoPINN,119,0.342341,
PtychoPINN,120,0.076284,
