epoch,learning_rate,physics_weight_epoch,physics_weight_step,poisson_train_loss_epoch,poisson_train_loss_step,poisson_val_loss,step,training_stage_epoch,training_stage_step
0,,,0.0,,60269.25390625,,0,,1.0
0,,,0.0,,47233.0546875,,1,,1.0
0,,,0.0,,22409.37109375,,2,,1.0
0,,,0.0,,27649.916015625,,3,,1.0
0,,,0.0,,23857.455078125,,4,,1.0
0,,,0.0,,18513.390625,,5,,1.0
0,,,0.0,,23521.197265625,,6,,1.0
0,,,0.0,,24299.2890625,,7,,1.0
0,,,0.0,,20797.890625,,8,,1.0
0,,,0.0,,18084.705078125,,9,,1.0
0,,,0.0,,19800.73046875,,10,,1.0
0,,,0.0,,21707.94921875,,11,,1.0
0,,,0.0,,21131.650390625,,12,,1.0
0,,,0.0,,19073.439453125,,13,,1.0
0,,,0.0,,18398.55078125,,14,,1.0
0,,,0.0,,19484.841796875,,15,,1.0
,,,0.0,,,,0,,1.0
,,,0.0,,,,1,,1.0
,,,0.0,,,,2,,1.0
,,,0.0,,,,3,,1.0
,,,0.0,,,,4,,1.0
,,,0.0,,,,5,,1.0
,,,0.0,,,,6,,1.0
,,,0.0,,,,7,,1.0
,,,0.0,,,,8,,1.0
,,,0.0,,,,9,,1.0
,,,0.0,,,,10,,1.0
,,,0.0,,,,11,,1.0
,,,0.0,,,,12,,1.0
,,,0.0,,,,13,,1.0
,,,0.0,,,,14,,1.0
,,,0.0,,,,15,,1.0
0,,0.0,,,,19644.615234375,15,1.0,
0,0.0010000000474974513,0.0,,25389.54296875,,,15,1.0,
1,,,0.0,,19382.35546875,,16,,1.0
1,,,0.0,,18793.681640625,,17,,1.0
1,,,0.0,,18321.609375,,18,,1.0
1,,,0.0,,18413.74609375,,19,,1.0
1,,,0.0,,18840.43359375,,20,,1.0
1,,,0.0,,19049.326171875,,21,,1.0
1,,,0.0,,18444.638671875,,22,,1.0
1,,,0.0,,18375.001953125,,23,,1.0
1,,,0.0,,18290.376953125,,24,,1.0
1,,,0.0,,18482.896484375,,25,,1.0
1,,,0.0,,18411.724609375,,26,,1.0
1,,,0.0,,18211.5859375,,27,,1.0
1,,,0.0,,18157.787109375,,28,,1.0
1,,,0.0,,18327.375,,29,,1.0
1,,,0.0,,18087.841796875,,30,,1.0
1,,,0.0,,18348.49609375,,31,,1.0
,,,0.0,,,,16,,1.0
,,,0.0,,,,17,,1.0
,,,0.0,,,,18,,1.0
,,,0.0,,,,19,,1.0
,,,0.0,,,,20,,1.0
,,,0.0,,,,21,,1.0
,,,0.0,,,,22,,1.0
,,,0.0,,,,23,,1.0
,,,0.0,,,,24,,1.0
,,,0.0,,,,25,,1.0
,,,0.0,,,,26,,1.0
,,,0.0,,,,27,,1.0
,,,0.0,,,,28,,1.0
,,,0.0,,,,29,,1.0
,,,0.0,,,,30,,1.0
,,,0.0,,,,31,,1.0
1,,0.0,,,,18232.771484375,31,1.0,
1,0.0010000000474974513,0.0,,18496.1796875,,,31,1.0,
2,,,0.0,,17920.314453125,,32,,1.0
2,,,0.0,,18179.900390625,,33,,1.0
2,,,0.0,,18031.28125,,34,,1.0
2,,,0.0,,18287.9921875,,35,,1.0
2,,,0.0,,18241.765625,,36,,1.0
2,,,0.0,,18019.568359375,,37,,1.0
2,,,0.0,,18313.19140625,,38,,1.0
2,,,0.0,,18002.47265625,,39,,1.0
2,,,0.0,,18313.107421875,,40,,1.0
2,,,0.0,,17935.046875,,41,,1.0
2,,,0.0,,17764.60546875,,42,,1.0
2,,,0.0,,18190.939453125,,43,,1.0
2,,,0.0,,17845.32421875,,44,,1.0
2,,,0.0,,17913.6328125,,45,,1.0
2,,,0.0,,17780.4921875,,46,,1.0
2,,,0.0,,17994.291015625,,47,,1.0
,,,0.0,,,,32,,1.0
,,,0.0,,,,33,,1.0
,,,0.0,,,,34,,1.0
,,,0.0,,,,35,,1.0
,,,0.0,,,,36,,1.0
,,,0.0,,,,37,,1.0
,,,0.0,,,,38,,1.0
,,,0.0,,,,39,,1.0
,,,0.0,,,,40,,1.0
,,,0.0,,,,41,,1.0
,,,0.0,,,,42,,1.0
,,,0.0,,,,43,,1.0
,,,0.0,,,,44,,1.0
,,,0.0,,,,45,,1.0
,,,0.0,,,,46,,1.0
,,,0.0,,,,47,,1.0
2,,0.0,,,,17981.115234375,47,1.0,
2,0.0010000000474974513,0.0,,18045.87109375,,,47,1.0,
3,,,0.0,,17844.53125,,48,,1.0
3,,,0.0,,18032.451171875,,49,,1.0
3,,,0.0,,18068.607421875,,50,,1.0
3,,,0.0,,17863.001953125,,51,,1.0
3,,,0.0,,17892.6875,,52,,1.0
3,,,0.0,,17918.646484375,,53,,1.0
3,,,0.0,,17954.138671875,,54,,1.0
3,,,0.0,,17760.32421875,,55,,1.0
3,,,0.0,,17993.994140625,,56,,1.0
3,,,0.0,,17743.46484375,,57,,1.0
3,,,0.0,,17822.05078125,,58,,1.0
3,,,0.0,,17641.697265625,,59,,1.0
3,,,0.0,,17909.1796875,,60,,1.0
3,,,0.0,,17818.3203125,,61,,1.0
3,,,0.0,,17760.6171875,,62,,1.0
3,,,0.0,,17861.830078125,,63,,1.0
,,,0.0,,,,48,,1.0
,,,0.0,,,,49,,1.0
,,,0.0,,,,50,,1.0
,,,0.0,,,,51,,1.0
,,,0.0,,,,52,,1.0
,,,0.0,,,,53,,1.0
,,,0.0,,,,54,,1.0
,,,0.0,,,,55,,1.0
,,,0.0,,,,56,,1.0
,,,0.0,,,,57,,1.0
,,,0.0,,,,58,,1.0
,,,0.0,,,,59,,1.0
