model,frequency_bin,amplitude_frc,phase_frc
PtychoPINN,0,1.000000,
PtychoPINN,1,,
PtychoPINN,2,0.233480,
PtychoPINN,3,inf,
PtychoPINN,4,0.271808,
PtychoPINN,5,,
PtychoPINN,6,0.066080,
PtychoPINN,7,inf,
PtychoPINN,8,0.303711,
PtychoPINN,9,inf,
PtychoPINN,10,0.124123,
PtychoPINN,11,inf,
PtychoPINN,12,0.327312,
PtychoPINN,13,inf,
PtychoPINN,14,0.087360,
PtychoPINN,15,inf,
PtychoPINN,16,0.291012,
PtychoPINN,17,inf,
PtychoPINN,18,0.245214,
PtychoPINN,19,inf,
PtychoPINN,20,0.211279,
PtychoPINN,21,inf,
PtychoPINN,22,0.059848,
PtychoPINN,23,inf,
PtychoPINN,24,0.345978,
PtychoPINN,25,inf,
PtychoPINN,26,0.188431,
PtychoPINN,27,inf,
PtychoPINN,28,0.129202,
PtychoPINN,29,inf,
PtychoPINN,30,0.053038,
PtychoPINN,31,inf,
PtychoPINN,32,0.271881,
PtychoPINN,33,inf,
PtychoPINN,34,0.107755,
PtychoPINN,35,inf,
PtychoPINN,36,0.086880,
PtychoPINN,37,inf,
PtychoPINN,38,0.019197,
PtychoPINN,39,inf,
PtychoPINN,40,0.192954,
PtychoPINN,41,inf,
PtychoPINN,42,0.130702,
PtychoPINN,43,inf,
PtychoPINN,44,0.041267,
PtychoPINN,45,inf,
PtychoPINN,46,0.101305,
PtychoPINN,47,inf,
PtychoPINN,48,0.216071,
PtychoPINN,49,inf,
PtychoPINN,50,0.003164,
PtychoPINN,51,inf,
PtychoPINN,52,0.001189,
PtychoPINN,53,inf,
PtychoPINN,54,0.185194,
PtychoPINN,55,inf,
PtychoPINN,56,0.248522,
PtychoPINN,57,inf,
PtychoPINN,58,0.028244,
PtychoPINN,59,inf,
PtychoPINN,60,0.057027,
PtychoPINN,61,inf,
PtychoPINN,62,0.167772,
PtychoPINN,63,inf,
PtychoPINN,64,0.276191,
PtychoPINN,65,inf,
PtychoPINN,66,0.100707,
PtychoPINN,67,inf,
PtychoPINN,68,0.030173,
PtychoPINN,69,inf,
PtychoPINN,70,0.098276,
PtychoPINN,71,inf,
PtychoPINN,72,0.209043,
PtychoPINN,73,inf,
PtychoPINN,74,0.082619,
PtychoPINN,75,inf,
PtychoPINN,76,0.011551,
PtychoPINN,77,inf,
PtychoPINN,78,0.106516,
PtychoPINN,79,inf,
PtychoPINN,80,0.196980,
PtychoPINN,81,inf,
PtychoPINN,82,0.152726,
PtychoPINN,83,inf,
PtychoPINN,84,0.034019,
PtychoPINN,85,inf,
PtychoPINN,86,0.050490,
PtychoPINN,87,inf,
PtychoPINN,88,0.197532,
PtychoPINN,89,inf,
PtychoPINN,90,inf,
PtychoPINN,91,inf,
PtychoPINN,92,inf,
PtychoPINN,93,inf,
PtychoPINN,94,inf,
PtychoPINN,95,inf,
PtychoPINN,96,inf,
PtychoPINN,97,inf,
PtychoPINN,98,inf,
PtychoPINN,99,inf,
PtychoPINN,100,inf,
PtychoPINN,101,inf,
PtychoPINN,102,inf,
PtychoPINN,103,inf,
PtychoPINN,104,inf,
PtychoPINN,105,inf,
PtychoPINN,106,inf,
PtychoPINN,107,inf,
PtychoPINN,108,inf,
PtychoPINN,109,inf,
PtychoPINN,110,inf,
PtychoPINN,111,inf,
PtychoPINN,112,inf,
PtychoPINN,113,inf,
PtychoPINN,114,inf,
PtychoPINN,115,inf,
PtychoPINN,116,inf,
PtychoPINN,117,inf,
PtychoPINN,118,inf,
PtychoPINN,119,inf,
PtychoPINN,120,inf,
PtychoPINN,121,,
PtychoPINN,122,inf,
PtychoPINN,123,inf,
PtychoPINN,124,inf,
PtychoPINN,125,,
PtychoPINN,126,,
