row_id,model,training,amp_mae,phase_mae,amp_mse,phase_mse,amp_ssim,phase_ssim,parameter_count,inference_throughput_status,inference_samples_per_second
pinn,CNN,PINN,0.12317091226577759,0.7863222464274442,0.02367185615003109,1.1843227016219966,0.7325678081610691,0.2638148037194811,4661212,measured,524.5064148370284
pinn_fno_vanilla,FNO,PINN,0.12481639534235,0.1435395349328455,0.024000922217965126,0.032295907670301084,0.7409360685258843,0.9334635911261081,636450,measured,1904.4745131596637
pinn_ffno,FFNO,PINN,0.08204326778650284,0.13796461630791748,0.010589946061372757,0.03047779600080815,0.890305374043404,0.9596438877920995,124968,measured,171.4241738802047
pinn_hybrid_resnet,SRU-Net,PINN,0.026939474046230316,0.07206347709561367,0.00115118024405092,0.007788461505276771,0.9881142973635324,0.9947399866043689,9003299,measured,1075.8460913300028
pinn_neuralop_uno,U-NO,PINN,0.09316378086805344,0.06829105385593301,0.013220230117440224,0.007346054084902409,0.8279948152817742,0.9568587752007158,1257858,missing,
baseline,CNN,supervised,0.4026719033718109,0.7861943717040095,0.2835979163646698,1.1479366956432024,0.277214069257086,0.4963532061083504,4612418,measured,393.43105533025476
supervised_ffno,FFNO,supervised,0.35151222348213196,0.06611791105895387,0.195674866437912,0.006884107531901606,0.2650063795551529,0.9015290958935847,124966,measured,228.77613808526297
supervised_neuralop_uno,U-NO,supervised,0.3206843137741089,0.05625055939327221,0.16388654708862305,0.004764640077438061,0.2689397545100156,0.9104896763928609,1257858,missing,
