model,frequency_bin,amplitude_frc,phase_frc
PtychoPINN,0,1.000000,
PtychoPINN,1,0.884662,
PtychoPINN,2,0.325703,
PtychoPINN,3,0.346004,
PtychoPINN,4,0.065502,
PtychoPINN,5,0.042185,
PtychoPINN,6,0.094759,
PtychoPINN,7,0.047823,
PtychoPINN,8,0.148319,
PtychoPINN,9,0.028771,
PtychoPINN,10,0.077702,
PtychoPINN,11,0.119974,
PtychoPINN,12,0.043507,
PtychoPINN,13,0.035510,
PtychoPINN,14,0.085431,
PtychoPINN,15,0.033142,
PtychoPINN,16,0.253901,
PtychoPINN,17,0.027424,
PtychoPINN,18,0.013673,
PtychoPINN,19,0.015798,
PtychoPINN,20,0.065198,
PtychoPINN,21,0.043434,
PtychoPINN,22,0.073461,
PtychoPINN,23,0.085482,
PtychoPINN,24,0.122356,
PtychoPINN,25,0.009706,
PtychoPINN,26,0.128765,
PtychoPINN,27,0.038525,
PtychoPINN,28,0.048973,
PtychoPINN,29,0.054566,
PtychoPINN,30,0.020310,
PtychoPINN,31,0.105089,
PtychoPINN,32,0.126113,
PtychoPINN,33,0.055683,
PtychoPINN,34,0.076315,
PtychoPINN,35,0.083396,
PtychoPINN,36,0.053088,
PtychoPINN,37,0.006539,
PtychoPINN,38,0.147713,
PtychoPINN,39,0.044059,
PtychoPINN,40,0.092139,
PtychoPINN,41,0.127908,
PtychoPINN,42,0.139462,
PtychoPINN,43,0.012761,
PtychoPINN,44,0.131468,
PtychoPINN,45,0.060572,
PtychoPINN,46,0.046927,
PtychoPINN,47,0.112518,
PtychoPINN,48,0.102602,
PtychoPINN,49,0.158457,
PtychoPINN,50,0.138130,
PtychoPINN,51,0.206773,
PtychoPINN,52,0.103675,
PtychoPINN,53,0.116701,
PtychoPINN,54,0.012941,
PtychoPINN,55,0.068562,
PtychoPINN,56,0.195416,
PtychoPINN,57,0.145456,
PtychoPINN,58,0.311429,
PtychoPINN,59,0.181723,
PtychoPINN,60,0.223774,
PtychoPINN,61,0.027817,
PtychoPINN,62,0.037219,
PtychoPINN,63,0.134742,
PtychoPINN,64,0.114133,
PtychoPINN,65,0.248144,
PtychoPINN,66,0.163871,
PtychoPINN,67,0.255618,
PtychoPINN,68,0.136736,
PtychoPINN,69,0.118880,
PtychoPINN,70,0.039637,
PtychoPINN,71,0.088931,
PtychoPINN,72,0.236133,
PtychoPINN,73,0.204936,
PtychoPINN,74,0.289022,
PtychoPINN,75,0.205568,
PtychoPINN,76,0.200382,
PtychoPINN,77,0.022561,
PtychoPINN,78,0.035477,
PtychoPINN,79,0.172882,
PtychoPINN,80,0.182451,
PtychoPINN,81,0.264996,
PtychoPINN,82,0.195905,
PtychoPINN,83,0.227433,
PtychoPINN,84,0.073192,
PtychoPINN,85,0.059355,
PtychoPINN,86,0.021407,
PtychoPINN,87,0.052586,
PtychoPINN,88,0.101875,
PtychoPINN,89,0.039098,
PtychoPINN,90,0.058478,
PtychoPINN,91,0.100964,
PtychoPINN,92,0.025449,
PtychoPINN,93,0.039539,
PtychoPINN,94,0.039001,
PtychoPINN,95,0.142591,
PtychoPINN,96,0.079769,
PtychoPINN,97,0.018293,
PtychoPINN,98,0.179088,
PtychoPINN,99,0.058216,
PtychoPINN,100,0.137508,
PtychoPINN,101,0.103383,
PtychoPINN,102,0.078808,
PtychoPINN,103,0.141828,
PtychoPINN,104,0.242523,
PtychoPINN,105,0.259302,
PtychoPINN,106,0.153743,
PtychoPINN,107,0.257358,
PtychoPINN,108,0.307103,
PtychoPINN,109,0.234849,
PtychoPINN,110,0.328310,
PtychoPINN,111,0.036638,
PtychoPINN,112,0.158265,
PtychoPINN,113,0.220389,
PtychoPINN,114,0.152886,
PtychoPINN,115,0.081572,
PtychoPINN,116,0.181884,
PtychoPINN,117,0.068871,
PtychoPINN,118,0.038617,
PtychoPINN,119,0.032193,
PtychoPINN,120,0.110606,
