model,metric,amplitude,phase,value
PtychoPINN,mae,0.404068,0.495800,
PtychoPINN,mse,0.238589,0.385180,
PtychoPINN,psnr,54.354292,52.274166,
PtychoPINN,ssim,0.077761,0.409146,
PtychoPINN,ms_ssim,0.212131,0.474204,
PtychoPINN,frc50,1.000000,4.000000,
Baseline,mae,0.391170,1.040492,
Baseline,mse,0.226422,1.409782,
Baseline,psnr,54.581621,46.639285,
Baseline,ssim,0.047348,0.264372,
Baseline,ms_ssim,0.021027,0.114108,
Baseline,frc50,1.000000,1.000000,
PtyChi,mae,0.194794,0.704555,
PtyChi,mse,0.058892,0.718495,
PtyChi,psnr,60.430255,49.566564,
PtyChi,ssim,0.075829,0.134370,
PtyChi,ms_ssim,0.318406,0.012282,
PtyChi,frc50,1.000000,1.000000,
PtychoPINN,computation_time_s,,,1.920235
Baseline,computation_time_s,,,0.259871
