model,frequency_bin,amplitude_frc,phase_frc
Baseline,0,1.000000,1.000000
Baseline,1,0.202597,0.051872
Baseline,2,0.130187,0.106213
Baseline,3,0.265868,0.074397
Baseline,4,0.158247,0.160107
Baseline,5,0.093159,0.048785
Baseline,6,0.004564,0.112162
Baseline,7,0.210995,0.067875
Baseline,8,0.068689,0.042512
Baseline,9,0.087592,0.231868
Baseline,10,0.049138,0.025119
Baseline,11,0.115857,0.126220
Baseline,12,0.135986,0.205363
Baseline,13,0.057601,0.162828
Baseline,14,0.156789,0.134238
Baseline,15,0.020987,0.208577
Baseline,16,0.242985,0.106432
Baseline,17,0.047298,0.007205
Baseline,18,0.347168,0.012429
Baseline,19,0.012634,0.059456
Baseline,20,0.023174,0.133344
Baseline,21,0.053679,0.014199
Baseline,22,0.073565,0.237087
Baseline,23,0.222685,0.140216
Baseline,24,0.124585,0.077794
Baseline,25,0.063875,0.188874
Baseline,26,0.463227,0.294494
Baseline,27,0.028850,0.503152
Baseline,28,0.012812,0.234666
