model,metric,amplitude,phase,value
PtychoPINN,mae,0.025468,0.038572,
PtychoPINN,mse,0.011166,0.057336,
PtychoPINN,psnr,67.651639,60.546493,
PtychoPINN,ssim,,0.967944,
PtychoPINN,ms_ssim,0.870948,0.952977,
PtychoPINN,frc50,2.000000,,
PtychoPINN,registration_offset_dy,,,26.180000
PtychoPINN,registration_offset_dx,,,-0.120000
PtychoPINN,computation_time_s,,,3.960891
