model,metric,amplitude,phase,value
PtychoPINN,mae,1.243371,0.533774,
PtychoPINN,mse,2.808713,0.422375,
PtychoPINN,psnr,43.645730,51.873821,
PtychoPINN,ssim,0.000259,0.278405,
PtychoPINN,ms_ssim,0.040010,0.162522,
PtychoPINN,frc50,1.000000,1.000000,
Baseline,mae,1.243371,0.894595,
Baseline,mse,2.737020,1.449763,
Baseline,psnr,43.758023,46.517832,
Baseline,ssim,0.006488,0.207824,
Baseline,ms_ssim,0.042360,0.000460,
Baseline,frc50,1.000000,1.000000,
PtyChi,mae,,,
PtyChi,mse,,,
PtyChi,psnr,,,
PtyChi,ssim,,,
PtyChi,ms_ssim,,,
PtyChi,frc50,,,
PtychoPINN,computation_time_s,,,1.867900
Baseline,computation_time_s,,,0.227565
