model,metric,amplitude,phase,value
PtychoPINN,mae,0.604957,0.743291,
PtychoPINN,mse,0.528440,0.773709,
PtychoPINN,psnr,50.900846,49.245026,
PtychoPINN,ssim,0.033927,0.270293,
PtychoPINN,ms_ssim,0.080364,0.166675,
PtychoPINN,frc50,1.000000,1.000000,
Baseline,mae,0.579774,0.859863,
Baseline,mse,0.485310,1.097243,
Baseline,psnr,51.270612,47.727777,
Baseline,ssim,0.111298,0.340059,
Baseline,ms_ssim,0.127205,0.188801,
Baseline,frc50,1.000000,1.000000,
PtyChi,mae,1.043447,1.587556,
PtyChi,mse,2.526476,3.381222,
PtyChi,psnr,44.105652,42.840066,
PtyChi,ssim,0.002777,0.009805,
PtyChi,ms_ssim,0.095679,0.031592,
PtyChi,frc50,1.000000,2.000000,
PtychoPINN,computation_time_s,,,1.505088
Baseline,computation_time_s,,,0.541731
