model,frequency_bin,amplitude_frc,phase_frc
PtychoPINN,0,1.000000,1.000000
PtychoPINN,1,0.088022,0.105593
PtychoPINN,2,0.167503,0.154005
PtychoPINN,3,0.119512,0.057234
PtychoPINN,4,0.198826,0.037348
PtychoPINN,5,0.054494,0.121831
PtychoPINN,6,0.043590,0.119368
PtychoPINN,7,0.088502,0.038213
PtychoPINN,8,0.259445,0.233454
PtychoPINN,9,0.175450,0.322982
PtychoPINN,10,0.124021,0.039369
PtychoPINN,11,0.044102,0.015127
PtychoPINN,12,0.070818,0.064389
PtychoPINN,13,0.069327,0.001669
PtychoPINN,14,0.068536,0.058935
PtychoPINN,15,0.133868,0.060249
PtychoPINN,16,0.127527,0.177572
PtychoPINN,17,0.023498,0.073600
PtychoPINN,18,0.016125,0.105586
PtychoPINN,19,0.020606,0.031673
PtychoPINN,20,0.026557,0.069774
PtychoPINN,21,0.019535,0.101452
PtychoPINN,22,0.049552,0.042425
PtychoPINN,23,0.085283,0.038869
PtychoPINN,24,0.029629,0.022752
PtychoPINN,25,0.030857,0.047746
PtychoPINN,26,0.092823,0.067181
PtychoPINN,27,0.256719,0.193821
PtychoPINN,28,0.077157,0.080751
PtychoPINN,29,0.060544,0.120023
PtychoPINN,30,0.022998,0.093926
PtychoPINN,31,0.072989,0.153590
PtychoPINN,32,0.238476,0.168708
PtychoPINN,33,0.145492,0.130550
PtychoPINN,34,0.069278,0.027799
PtychoPINN,35,0.029884,0.084127
PtychoPINN,36,0.076799,0.011851
PtychoPINN,37,0.026565,0.146100
PtychoPINN,38,0.085842,0.023947
PtychoPINN,39,0.025773,0.034970
PtychoPINN,40,0.085416,0.102973
PtychoPINN,41,0.113868,0.046051
PtychoPINN,42,0.032987,0.026922
PtychoPINN,43,0.205390,0.067672
PtychoPINN,44,0.012742,0.004922
PtychoPINN,45,0.078639,0.142857
PtychoPINN,46,0.030644,0.005919
PtychoPINN,47,0.043775,0.221433
PtychoPINN,48,0.019259,0.115900
PtychoPINN,49,0.072102,0.076733
PtychoPINN,50,0.143046,0.087455
PtychoPINN,51,0.070962,0.054024
PtychoPINN,52,0.026963,0.063264
PtychoPINN,53,0.035094,0.120401
PtychoPINN,54,0.044623,0.139684
PtychoPINN,55,0.133273,0.029472
PtychoPINN,56,0.024612,0.093946
PtychoPINN,57,0.077709,0.061875
PtychoPINN,58,0.065583,0.070023
PtychoPINN,59,0.169094,0.125251
PtychoPINN,60,0.223744,0.151061
PtychoPINN,61,0.466823,0.167903
PtychoPINN,62,0.003780,0.144938
PtychoPINN,63,0.011953,0.351279
PtychoPINN,64,0.322750,0.125696
PtychoPINN,65,0.273515,0.214619
PtychoPINN,66,0.527749,0.311069
