model,frequency_bin,amplitude_frc,phase_frc
Baseline,0,1.000000,1.000000
Baseline,1,0.118863,0.092340
Baseline,2,0.528109,0.547039
Baseline,3,0.107882,0.063426
Baseline,4,0.044235,0.005076
Baseline,5,0.060243,0.063903
Baseline,6,0.244212,0.371462
Baseline,7,0.022926,0.052122
Baseline,8,0.025886,0.004651
Baseline,9,0.084580,0.034681
Baseline,10,0.120845,0.097920
Baseline,11,0.003883,0.022984
Baseline,12,0.043054,0.038044
Baseline,13,0.008390,0.047940
Baseline,14,0.016635,0.036688
Baseline,15,0.085954,0.092104
Baseline,16,0.069608,0.051296
Baseline,17,0.016212,0.066084
Baseline,18,0.062354,0.006136
Baseline,19,0.026944,0.023577
Baseline,20,0.033024,0.015575
Baseline,21,0.024239,0.027395
Baseline,22,0.102143,0.018492
Baseline,23,0.057885,0.010011
Baseline,24,0.019989,0.047792
Baseline,25,0.072407,0.054190
Baseline,26,0.062509,0.047179
Baseline,27,0.061990,0.043047
Baseline,28,0.023597,0.026968
Baseline,29,0.045741,0.017764
Baseline,30,0.023130,0.016385
Baseline,31,0.043011,0.045966
Baseline,32,0.035015,0.022524
Baseline,33,0.011185,0.042860
Baseline,34,0.048190,0.031190
Baseline,35,0.055281,0.037301
Baseline,36,0.059780,0.035369
Baseline,37,0.038771,0.029027
Baseline,38,0.012187,0.053722
Baseline,39,0.004510,0.003475
Baseline,40,0.012202,0.046213
Baseline,41,0.041467,0.018912
Baseline,42,0.060735,0.046626
Baseline,43,0.011718,0.034707
Baseline,44,0.041715,0.023067
Baseline,45,0.093706,0.042025
Baseline,46,0.095327,0.022844
Baseline,47,0.049006,0.034932
Baseline,48,0.028740,0.079890
Baseline,49,0.000000,0.058317
Baseline,50,0.019617,0.059340
Baseline,51,0.158198,0.060246
Baseline,52,0.077767,0.074726
Baseline,53,0.147076,0.023811
Baseline,54,0.062484,0.038581
Baseline,55,0.023773,0.000852
Baseline,56,0.005373,0.025399
Baseline,57,0.056238,0.006327
Baseline,58,0.022985,0.055703
Baseline,59,0.102577,0.009636
Baseline,60,0.079609,0.005314
Baseline,61,0.016724,0.051553
Baseline,62,0.070017,0.036452
Baseline,63,0.013880,0.059950
Baseline,64,0.009185,0.018440
Baseline,65,0.025825,0.055081
Baseline,66,0.055175,0.058566
Baseline,67,0.004370,0.052777
Baseline,68,0.112080,0.011366
Baseline,69,0.087283,0.040891
Baseline,70,0.045312,0.040788
Baseline,71,0.008504,0.008854
Baseline,72,0.028642,0.056599
Baseline,73,0.019284,0.023773
Baseline,74,0.082670,0.011013
Baseline,75,0.056503,0.018808
Baseline,76,0.006688,0.024021
Baseline,77,0.051185,0.014912
Baseline,78,0.023854,0.012635
Baseline,79,0.069517,0.012514
Baseline,80,0.001105,0.004037
Baseline,81,0.007782,0.017027
Baseline,82,0.001990,0.031523
Baseline,83,0.027266,0.027612
Baseline,84,0.039641,0.023865
Baseline,85,0.008096,0.053097
Baseline,86,0.059411,0.004610
Baseline,87,0.040967,0.033573
Baseline,88,0.050725,0.022071
Baseline,89,0.036213,0.003505
Baseline,90,0.050629,0.054096
Baseline,91,0.000899,0.004677
Baseline,92,0.057810,0.046478
Baseline,93,0.086706,0.005528
Baseline,94,0.087265,0.068112
Baseline,95,0.020069,0.038145
Baseline,96,0.071847,0.008571
Baseline,97,0.106894,0.091779
Baseline,98,0.027533,0.116945
Baseline,99,0.092916,0.053790
Baseline,100,0.003571,0.037609
Baseline,101,0.092033,0.087120
Baseline,102,0.113868,0.008812
Baseline,103,0.062152,0.000900
Baseline,104,0.044551,0.054447
Baseline,105,0.037418,0.054374
Baseline,106,0.012239,0.121472
Baseline,107,0.066831,0.073103
Baseline,108,0.064914,0.028005
Baseline,109,0.195311,0.053926
Baseline,110,0.102666,0.106916
Baseline,111,0.035166,0.047751
Baseline,112,0.040433,0.053681
Baseline,113,0.039453,0.070958
Baseline,114,0.031289,0.077360
Baseline,115,0.003913,0.134885
Baseline,116,0.126644,0.051803
Baseline,117,0.097619,0.026054
Baseline,118,0.004504,0.061603
Baseline,119,0.018956,0.299187
Baseline,120,0.083888,0.198679
Baseline,121,0.220748,0.192658
Baseline,122,0.134151,0.087209
Baseline,123,0.049001,0.464337
Baseline,124,0.193736,0.691626
