model,frequency_bin,amplitude_frc,phase_frc
PtychoPINN,0,1.000000,1.000000
PtychoPINN,1,0.332076,0.720938
PtychoPINN,2,0.489578,0.026224
PtychoPINN,3,0.778575,0.407070
PtychoPINN,4,0.733410,0.303462
PtychoPINN,5,0.490140,0.514398
PtychoPINN,6,0.677380,0.752300
PtychoPINN,7,0.825328,0.884435
PtychoPINN,8,0.948339,0.963149
PtychoPINN,9,0.952910,0.974327
PtychoPINN,10,0.957467,0.981753
PtychoPINN,11,0.960748,0.983178
PtychoPINN,12,0.924923,0.976345
PtychoPINN,13,0.934718,0.980838
PtychoPINN,14,0.841857,0.980380
PtychoPINN,15,0.592854,0.972103
PtychoPINN,16,0.436334,0.972879
PtychoPINN,17,0.249896,0.980963
PtychoPINN,18,0.008670,0.954761
PtychoPINN,19,0.156205,0.967191
PtychoPINN,20,0.238675,0.957198
PtychoPINN,21,0.143612,0.924528
PtychoPINN,22,0.275374,0.920774
PtychoPINN,23,0.049513,0.865601
PtychoPINN,24,0.055939,0.797366
PtychoPINN,25,0.156490,0.778273
PtychoPINN,26,0.045728,0.718027
PtychoPINN,27,0.088147,0.625664
PtychoPINN,28,0.113403,0.690288
PtychoPINN,29,0.110500,0.667193
PtychoPINN,30,0.191853,0.696517
PtychoPINN,31,0.328536,0.657946
PtychoPINN,32,0.077276,0.733706
PtychoPINN,33,0.141481,0.712669
PtychoPINN,34,0.075701,0.671086
PtychoPINN,35,0.066644,0.667641
PtychoPINN,36,0.101269,0.561136
PtychoPINN,37,0.110833,0.567454
PtychoPINN,38,0.168382,0.410484
PtychoPINN,39,0.143116,0.500687
PtychoPINN,40,0.097468,0.426973
PtychoPINN,41,0.092542,0.295455
PtychoPINN,42,0.156566,0.420570
PtychoPINN,43,0.193512,0.294548
PtychoPINN,44,0.219698,0.248252
PtychoPINN,45,0.181158,0.189495
PtychoPINN,46,0.124915,0.351736
PtychoPINN,47,0.273522,0.286061
PtychoPINN,48,0.204469,0.316349
PtychoPINN,49,0.243215,0.394268
PtychoPINN,50,0.229780,0.269889
PtychoPINN,51,0.298458,0.345434
PtychoPINN,52,0.297127,0.354258
PtychoPINN,53,0.260765,0.370679
PtychoPINN,54,0.299467,0.346169
PtychoPINN,55,0.203560,0.460850
PtychoPINN,56,0.212055,0.365802
PtychoPINN,57,0.210022,0.432717
PtychoPINN,58,0.270148,0.366360
PtychoPINN,59,0.217110,0.430352
PtychoPINN,60,0.181826,0.369072
PtychoPINN,61,0.138471,0.277466
PtychoPINN,62,0.058766,0.323808
PtychoPINN,63,0.156812,0.367899
PtychoPINN,64,0.049987,0.339792
PtychoPINN,65,0.131824,0.382421
PtychoPINN,66,0.140425,0.437465
PtychoPINN,67,0.118551,0.365013
PtychoPINN,68,0.026446,0.395451
PtychoPINN,69,0.059947,0.350980
PtychoPINN,70,0.118335,0.320720
PtychoPINN,71,0.069716,0.431205
PtychoPINN,72,0.018524,0.345902
PtychoPINN,73,0.106453,0.417197
PtychoPINN,74,0.094509,0.417009
PtychoPINN,75,0.075261,0.339311
PtychoPINN,76,0.044586,0.360685
PtychoPINN,77,0.047815,0.335776
PtychoPINN,78,0.096205,0.366943
PtychoPINN,79,0.007045,0.378231
PtychoPINN,80,0.053002,0.413238
PtychoPINN,81,0.063944,0.384171
PtychoPINN,82,0.065374,0.336335
PtychoPINN,83,0.029931,0.399170
PtychoPINN,84,0.099827,0.300310
PtychoPINN,85,0.004147,0.359204
PtychoPINN,86,0.039733,0.319924
PtychoPINN,87,0.063508,0.211756
PtychoPINN,88,0.073913,0.118920
PtychoPINN,89,0.007969,0.036883
PtychoPINN,90,0.046997,0.017433
PtychoPINN,91,0.014683,0.005380
PtychoPINN,92,0.087881,0.050891
PtychoPINN,93,0.016634,0.050492
PtychoPINN,94,0.032891,0.030601
PtychoPINN,95,0.041522,0.060048
PtychoPINN,96,0.047068,0.087165
PtychoPINN,97,0.055831,0.091942
PtychoPINN,98,0.085516,0.090215
PtychoPINN,99,0.049088,0.046229
PtychoPINN,100,0.086328,0.139632
PtychoPINN,101,0.047500,0.051860
PtychoPINN,102,0.069187,0.071270
PtychoPINN,103,0.034292,0.092673
PtychoPINN,104,0.054792,0.135060
PtychoPINN,105,0.033620,0.074191
PtychoPINN,106,0.029387,0.009425
PtychoPINN,107,0.065378,0.053023
PtychoPINN,108,0.049276,0.038210
PtychoPINN,109,0.098741,0.005829
PtychoPINN,110,0.180230,0.064374
PtychoPINN,111,0.014603,0.128660
PtychoPINN,112,0.025467,0.000271
PtychoPINN,113,0.178942,0.082665
PtychoPINN,114,0.082232,0.018483
PtychoPINN,115,0.122685,0.008781
PtychoPINN,116,0.007370,0.088143
PtychoPINN,117,0.088220,0.090866
PtychoPINN,118,0.139791,0.312804
PtychoPINN,119,0.132075,0.404490
PtychoPINN,120,0.127182,0.143156
PtychoPINN,121,0.217078,0.161337
PtychoPINN,122,0.098105,0.156180
PtychoPINN,123,0.146887,0.396175
PtychoPINN,124,0.086270,0.212882
