model,metric,amplitude,phase,value
PtychoPINN,mae,0.122426,0.125907,
PtychoPINN,mse,0.023422,0.024501,
PtychoPINN,psnr,64.434634,64.238937,
PtychoPINN,ssim,0.309312,0.897834,
PtychoPINN,ms_ssim,0.508164,0.875523,
PtychoPINN,frc50,1.000000,2.000000,
Baseline,mae,0.096974,0.272692,
Baseline,mse,0.023063,0.139852,
Baseline,psnr,64.501568,56.674122,
Baseline,ssim,0.076545,0.489358,
Baseline,ms_ssim,0.174042,0.191902,
Baseline,frc50,1.000000,1.000000,
Tike,mae,0.074311,0.166976,
Tike,mse,0.009423,0.048965,
Tike,psnr,68.388714,61.231967,
Tike,ssim,0.474563,0.756799,
Tike,ms_ssim,0.657459,0.640282,
Tike,frc50,1.000000,1.000000,
PtychoPINN,registration_offset_dy,,,2.260000
PtychoPINN,registration_offset_dx,,,2.740000
Baseline,registration_offset_dy,,,2.300000
Baseline,registration_offset_dx,,,-14.160000
Tike,registration_offset_dy,,,19.120001
Tike,registration_offset_dx,,,0.540000
PtychoPINN,computation_time_s,,,2.267364
Baseline,computation_time_s,,,0.783423
