model,frequency_bin,amplitude_frc,phase_frc
PtychoPINN,0,1.000000,
PtychoPINN,1,0.997119,
PtychoPINN,2,0.995428,
PtychoPINN,3,0.990718,
PtychoPINN,4,0.986928,
PtychoPINN,5,0.984095,
PtychoPINN,6,0.959090,
PtychoPINN,7,0.931178,
PtychoPINN,8,0.923927,
PtychoPINN,9,0.920551,
PtychoPINN,10,0.896214,
PtychoPINN,11,0.878675,
PtychoPINN,12,0.919944,
PtychoPINN,13,0.842372,
PtychoPINN,14,0.815359,
PtychoPINN,15,0.858563,
PtychoPINN,16,0.755103,
PtychoPINN,17,0.781323,
PtychoPINN,18,0.786793,
PtychoPINN,19,0.754132,
PtychoPINN,20,0.693806,
PtychoPINN,21,0.697796,
PtychoPINN,22,0.693042,
PtychoPINN,23,0.731073,
PtychoPINN,24,0.642319,
PtychoPINN,25,0.634414,
PtychoPINN,26,0.649594,
PtychoPINN,27,0.666823,
PtychoPINN,28,0.621583,
PtychoPINN,29,0.590725,
PtychoPINN,30,0.605074,
PtychoPINN,31,0.506537,
PtychoPINN,32,0.557376,
PtychoPINN,33,0.483353,
PtychoPINN,34,0.470132,
PtychoPINN,35,0.484720,
PtychoPINN,36,0.470289,
PtychoPINN,37,0.402857,
PtychoPINN,38,0.333311,
PtychoPINN,39,0.366262,
PtychoPINN,40,0.276893,
PtychoPINN,41,0.242483,
PtychoPINN,42,0.222507,
PtychoPINN,43,0.301189,
PtychoPINN,44,0.270414,
PtychoPINN,45,0.244769,
PtychoPINN,46,0.244390,
PtychoPINN,47,0.212048,
PtychoPINN,48,0.294430,
PtychoPINN,49,0.225744,
PtychoPINN,50,0.261229,
PtychoPINN,51,0.195204,
PtychoPINN,52,0.252252,
PtychoPINN,53,0.303209,
PtychoPINN,54,0.291240,
PtychoPINN,55,0.242037,
PtychoPINN,56,0.307453,
PtychoPINN,57,0.298750,
PtychoPINN,58,0.314856,
PtychoPINN,59,0.280935,
PtychoPINN,60,0.330813,
PtychoPINN,61,0.324510,
PtychoPINN,62,0.300568,
PtychoPINN,63,0.385164,
PtychoPINN,64,0.347439,
PtychoPINN,65,0.381289,
PtychoPINN,66,0.367108,
PtychoPINN,67,0.357741,
PtychoPINN,68,0.363178,
PtychoPINN,69,0.373359,
PtychoPINN,70,0.382303,
PtychoPINN,71,0.378356,
PtychoPINN,72,0.393133,
PtychoPINN,73,0.391299,
PtychoPINN,74,0.359583,
PtychoPINN,75,0.343158,
PtychoPINN,76,0.359578,
PtychoPINN,77,0.350739,
PtychoPINN,78,0.339707,
PtychoPINN,79,0.337907,
PtychoPINN,80,0.342640,
PtychoPINN,81,0.295422,
PtychoPINN,82,0.278515,
PtychoPINN,83,0.248206,
PtychoPINN,84,0.222271,
PtychoPINN,85,0.189667,
PtychoPINN,86,0.005285,
PtychoPINN,87,0.089152,
PtychoPINN,88,0.065430,
PtychoPINN,89,0.061330,
PtychoPINN,90,0.047424,
PtychoPINN,91,0.068532,
PtychoPINN,92,0.035066,
PtychoPINN,93,0.078645,
PtychoPINN,94,0.091902,
PtychoPINN,95,0.063624,
PtychoPINN,96,0.056737,
PtychoPINN,97,0.016265,
PtychoPINN,98,0.004013,
PtychoPINN,99,0.040010,
PtychoPINN,100,0.004636,
PtychoPINN,101,0.009732,
PtychoPINN,102,0.051885,
PtychoPINN,103,0.127575,
PtychoPINN,104,0.068921,
PtychoPINN,105,0.097242,
PtychoPINN,106,0.051650,
PtychoPINN,107,0.079055,
PtychoPINN,108,0.171304,
PtychoPINN,109,0.267446,
PtychoPINN,110,0.192167,
PtychoPINN,111,0.325516,
PtychoPINN,112,0.274667,
PtychoPINN,113,0.365593,
PtychoPINN,114,0.383692,
PtychoPINN,115,0.441082,
PtychoPINN,116,0.415012,
PtychoPINN,117,0.509604,
PtychoPINN,118,0.502098,
PtychoPINN,119,0.624424,
PtychoPINN,120,0.775571,
