mode,seed,level_idx,blur_sigma,single_frc50_amp,single_frc50_phase,single_frc1over7_amp,single_frc1over7_phase,mae_amp,mae_phase,mse_amp,mse_phase,psnr_amp,psnr_phase,ssim_amp,ssim_phase,ms_ssim_amp,ms_ssim_phase,frc50_amp,frc50_phase
spatial,0.0,0.0,0.0,4.0,34.0,8.0,34.0,1.0904748215523341e-08,4.039886495399949e-09,5.866972650365727e-16,1.6239422342081568e-16,200.44666298536941,205.51160040227697,1.000000004448589,0.9999999999999936,1.0000000199640784,0.999999999999998,66.0,66.0
spatial,0.0,1.0,0.16666666666666666,4.0,24.0,8.0,24.0,1.385716430490902e-08,0.003977981082847948,7.498989675718806e-16,2.4772065054703956e-05,199.38077586492824,94.19118184788346,1.0000000582587854,0.9996735816582705,1.0000000509220612,0.9999076355777846,66.0,47.0
spatial,0.0,2.0,0.3333333333333333,4.0,24.0,8.0,24.0,0.0011340273777022958,0.007986183892659331,2.0433578811207553e-06,0.00010067888698160565,105.02735953440691,88.10141981938843,0.9995984382053013,0.9986689146842963,0.9999991804808271,0.9996327113475618,66.0,47.0
spatial,0.0,3.0,0.5,12.0,24.0,25.0,24.0,0.009874262847006321,0.011978704140443447,0.0001546037819935009,0.000223918619545099,86.2386024182839,84.62990157082344,0.9659374962390082,0.9970014787645527,0.9999291534833273,0.9991675405448809,66.0,47.0
spatial,0.0,4.0,0.6666666666666666,25.0,24.0,27.0,24.0,0.016306543722748756,0.015929491561458668,0.00042016941006295383,0.00039995668543668525,81.89655929434643,82.11067414764372,0.9020068295392686,0.9947050005921068,0.9997450874656082,0.9984503206891625,66.0,47.0
spatial,0.0,5.0,0.8333333333333333,26.0,24.0,27.0,24.0,0.01926998607814312,0.019886365999735638,0.0005856191273778677,0.0006181861342482707,80.45465136955302,80.21961103280837,0.8606950764868181,0.9918971774579235,0.9995124961688452,0.99762207544441,66.0,47.0
spatial,0.0,6.0,1.0,27.0,24.0,34.0,24.0,0.020786188542842865,0.023947940950208853,0.0006803967407904565,0.0008972887732822953,79.80318097667417,78.60148130251318,0.836597573779737,0.9882820915735164,0.9992397472459282,0.9967315501236926,44.0,47.0
spatial,0.0,7.0,1.1666666666666665,27.0,24.0,34.0,24.0,0.021667957305908203,0.028253291429902756,0.0007385778590105474,0.0012466727013588205,79.44684051973381,77.1732791164342,0.8217129175923462,0.9835688955383037,0.9989466823399079,0.995567948756939,37.0,47.0
spatial,0.0,8.0,1.3333333333333333,27.0,24.0,34.0,24.0,0.022227693349123,0.031785341195263564,0.0007768485229462385,0.0015758102665269958,79.22744006296622,76.15576433342076,0.8119903379691621,0.9795966672874185,0.9986538745960627,0.9942510722042842,33.0,47.0
spatial,0.0,9.0,1.5,34.0,24.0,34.0,24.0,0.022609826177358627,0.03593553272115207,0.0008034566999413073,0.002014023575386683,79.08117868371993,75.09015813750294,0.8053665573916737,0.9739765233045156,0.998375133508736,0.9929610387998294,28.0,47.0
spatial,0.0,10.0,1.6666666666666665,34.0,24.0,34.0,24.0,0.02288457751274109,0.039561845105253866,0.0008228574297390878,0.0024615776281885554,78.9775573604406,74.21866827922497,0.8007073657634517,0.9682366901548998,0.9981181357310495,0.9913134221362243,25.0,47.0
spatial,0.0,11.0,1.8333333333333333,34.0,24.0,34.0,24.0,0.023093121126294136,0.04400686025123457,0.00083768559852615,0.0030073082420610433,78.8999933832925,73.34902414528996,0.7973402004876351,0.9618423493221624,0.9978846450754936,0.9895640369429608,22.0,47.0
spatial,0.0,12.0,2.0,34.0,24.0,34.0,26.0,0.023260336369276047,0.047830126761209665,0.0008496334194205701,0.0035872703058137533,78.8384878110371,72.58316254874771,0.7948431136109753,0.9547732409217211,0.9976735772117635,0.9868808566167971,21.0,47.0
spatial,1.0,0.0,0.0,5.0,34.0,8.0,34.0,1.0697005947690741e-08,4.049014354324377e-09,5.768332487284412e-16,1.6164065331662238e-16,200.52030053762095,205.4185159775431,0.9999999754118751,1.0000000000000029,1.0000000148578858,1.0000000000000013,66.0,66.0
spatial,1.0,1.0,0.16666666666666666,5.0,24.0,8.0,24.0,1.394519077990708e-08,0.0040519010022754005,7.613894988969772e-16,2.5786773604436414e-05,199.31473481262623,94.01683397043357,0.9999999636053846,0.9996543738336844,1.0000000130152313,0.9999028549890321,66.0,47.0
spatial,1.0,2.0,0.3333333333333333,5.0,24.0,7.0,27.0,0.0011503149289637804,0.00796919603005906,2.0752445379912388e-06,0.00010018892836334735,104.96011052960807,88.12260580542682,0.9995969724032994,0.9986601693934607,0.9999993204042269,0.9996313241290263,66.0,47.0
spatial,1.0,3.0,0.5,13.0,24.0,26.0,25.0,0.009986287914216518,0.011978001774635491,0.00015657943731639534,0.0002270669915158922,86.1834561687146,84.56926342782828,0.9658700628271614,0.9969843872922934,0.9999323628237057,0.9991225820707504,66.0,47.0
spatial,1.0,4.0,0.6666666666666666,26.0,24.0,28.0,24.0,0.016440074890851974,0.015717192686973188,0.0004241800052113831,0.00039281976383698344,81.85530167496043,82.18887030476179,0.9021567208032598,0.9947937441108148,0.9997565576909935,0.998536800342545,66.0,47.0
spatial,1.0,5.0,0.8333333333333333,26.0,24.0,32.0,25.0,0.01940561830997467,0.019887553704742503,0.0005902436678297818,0.0006197602003107002,80.420490037041,80.20856687923205,0.8613159313209641,0.9918528749630428,0.9995327630892078,0.9976628369257845,66.0,47.0
spatial,1.0,6.0,1.0,27.0,24.0,34.0,24.0,0.020917456597089767,0.02382092672171044,0.0006852560327388346,0.0008922085127176594,79.77227500595737,78.62614001374267,0.8376797554846259,0.9882638750680628,0.9992680822281254,0.9966809634006017,46.0,47.0
spatial,1.0,7.0,1.1666666666666665,28.0,24.0,34.0,24.0,0.021789459511637688,0.027349156220885677,0.0007435143343172967,0.0011747738144214923,79.41791010495412,77.43126105819195,0.8231645584058092,0.9846583534723565,0.9989804026011853,0.9958264789740832,37.0,47.0
spatial,1.0,8.0,1.3333333333333333,34.0,24.0,34.0,24.0,0.022345220670104027,0.03208132958653398,0.0007818070589564741,0.0016165969194946873,79.19980737603412,76.04478607664524,0.813692238872892,0.9791195146382498,0.9986891678209111,0.994181329881239,33.0,47.0
spatial,1.0,9.0,1.5,34.0,24.0,34.0,24.0,0.02272377721965313,0.0359934156180573,0.0008084610453806818,0.0020379513029618232,79.0542124425357,75.03886550431105,0.8072092891255219,0.9738497200699101,0.9984076772943113,0.9925389862497427,30.0,47.0
spatial,1.0,10.0,1.6666666666666665,34.0,24.0,34.0,24.0,0.022996116429567337,0.03980533528510411,0.0008279703906737268,0.002491887673259661,78.95065559662132,74.16551901563831,0.8026057550992883,0.9679941081312498,0.9981438114848027,0.9909893793801546,27.0,47.0
spatial,1.0,11.0,1.8333333333333333,34.0,24.0,34.0,24.0,0.023202698677778244,0.04386808899450643,0.000842976092826575,0.0030250915620259216,78.87265105177123,73.32341832986481,0.7992344845455037,0.9618080527858504,0.997900621942081,0.9896276712077599,23.0,47.0
spatial,1.0,12.0,2.0,34.0,24.0,34.0,24.0,0.023367682471871376,0.04803131437138982,0.0008551575010642409,0.0036270528175109413,78.81034278597646,72.53526484686591,0.7966955253897712,0.9545202177777913,0.9976776324445743,0.9874980914604086,21.0,47.0
spatial,2.0,0.0,0.0,4.0,34.0,6.0,34.0,1.1279742473391252e-08,3.828961597729805e-09,6.113309948459775e-16,1.4976932152132278e-16,200.2680394711473,205.13360959184095,1.0000001207002116,1.000000000000023,1.000000001043611,0.9999999999999997,66.0,66.0
spatial,2.0,1.0,0.16666666666666666,4.0,24.0,6.0,24.0,1.412476535733731e-08,0.003935970821817308,7.651146968594424e-16,2.4460258739784402e-05,199.29353802347464,94.24619291843248,1.0000000729101164,0.9996751328054,1.000000009778012,0.9999112194736005,66.0,47.0
spatial,2.0,2.0,0.3333333333333333,6.0,24.0,7.0,24.0,0.0011311956914141774,0.00800002564348595,2.005688429562724e-06,0.00010106799001237357,105.10816872850341,88.08466708461445,0.9996040079756774,0.998648776379873,0.9999992936873516,0.9996182308182481,66.0,47.0
spatial,2.0,3.0,0.5,16.0,24.0,25.0,24.0,0.009837988764047623,0.01199042240927657,0.0001518496428616345,0.00022474781044996131,86.31666595385926,84.61384911855488,0.9664701769212054,0.9970207804307818,0.9999281471956957,0.9991540414492853,66.0,47.0
spatial,2.0,4.0,0.6666666666666666,25.0,24.0,28.0,25.0,0.016216564923524857,0.016079496717455982,0.00041336374124512076,0.00040455640427280895,81.96747985677212,82.06101278310553,0.9035737911967602,0.9947021480689249,0.9997409969956997,0.99846194036293,66.0,47.0
spatial,2.0,5.0,0.8333333333333333,25.0,24.0,34.0,24.0,0.01915457285940647,0.01990729040748186,0.0005777926417067647,0.0006226619497079565,80.51308310683453,80.18828036311743,0.862675263035162,0.9918111303334468,0.9995039080798089,0.9977133490909568,66.0,47.0
spatial,2.0,6.0,1.0,27.0,24.0,34.0,24.0,0.020663442090153694,0.0239263122154278,0.0006731675239279866,0.000899145686873087,79.8495720175488,78.59250282423542,0.8385312476146537,0.9882600458005838,0.9992249695464231,0.9965949903055223,44.0,47.0
spatial,2.0,7.0,1.1666666666666665,27.0,24.0,34.0,25.0,0.021542316302657127,0.02790804312254288,0.0007320540025830269,0.0012197841468178097,79.48537225864578,77.26797368950457,0.8234970274408036,0.9840536916995907,0.9989239345889764,0.9955485973690846,37.0,47.0
spatial,2.0,8.0,1.3333333333333333,29.0,24.0,34.0,25.0,0.022102825343608856,0.03222479579607686,0.0007707156473770738,0.0016297164288050624,79.2618619269937,76.00968317471784,0.8136475224182889,0.9789137088240479,0.9986213279213385,0.9941121069662275,33.0,47.0
spatial,2.0,9.0,1.5,34.0,24.0,34.0,24.0,0.022486139088869095,0.03610987405231271,0.0007974723121151328,0.002039464172158491,79.11364754581429,75.03564285486559,0.8069245120104485,0.9740525245435508,0.9983312189241362,0.992732830288033,30.0,47.0
spatial,2.0,10.0,1.6666666666666665,34.0,24.0,34.0,24.0,0.022766081616282463,0.039988356542465645,0.0008169166976585984,0.0025377760957676337,79.00902621747225,74.08627054361455,0.8021742742752436,0.9671352763646782,0.9980619816731447,0.990382325723975,25.0,47.0
spatial,2.0,11.0,1.8333333333333333,34.0,24.0,34.0,24.0,0.02298104204237461,0.043754875719302554,0.0008317598840221763,0.0030214765047894905,78.9308238816921,73.32861135741162,0.7987151618396159,0.9617197057814886,0.9978167993891314,0.9893836569276514,24.0,47.0
spatial,2.0,12.0,2.0,34.0,24.0,34.0,24.0,0.02315346710383892,0.04750635487194884,0.0008437170763500035,0.0035485941106433803,78.86883510250664,72.63024033287765,0.7961260247602857,0.9554499914938345,0.9975950499919312,0.9880308256348215,21.0,47.0
spatial,3.0,0.0,0.0,4.0,34.0,7.0,34.0,1.1303509239724008e-08,4.001291593912386e-09,6.072581427982236e-16,1.5440145432085036e-16,200.2970699900378,205.01639645114238,1.0000000428257276,0.999999999999992,1.0000000013498205,0.9999999999999988,66.0,66.0
spatial,3.0,1.0,0.16666666666666666,4.0,24.0,7.0,25.0,1.3924064568016092e-08,0.004016180115522764,7.511451118559693e-16,2.5326031846698928e-05,199.3735651365804,94.09513275066445,0.999999928048909,0.9996669374988226,0.9999999929787782,0.9999104942574106,66.0,47.0
spatial,3.0,2.0,0.3333333333333333,4.0,24.0,7.0,24.0,0.0011295207077637315,0.007904889648699006,2.009193622143357e-06,9.978664512099744e-05,105.10058587949621,88.14007914416578,0.9996041891106145,0.9986828156250592,0.9999991885625339,0.9996337769047362,66.0,47.0
spatial,3.0,3.0,0.5,18.0,24.0,27.0,24.0,0.009854358620941639,0.012064424876926919,0.00015288617578335106,0.0002280677006559942,86.28712108696706,84.5501658085564,0.9663344476031509,0.9969535176067748,0.9999325947258187,0.9991540840902663,66.0,47.0
spatial,3.0,4.0,0.6666666666666666,25.0,24.0,30.0,24.0,0.01629767008125782,0.01600142909804648,0.000418263953179121,0.00040162052408555836,81.91629916619226,82.09264480676376,0.9028078602448614,0.9946807665167196,0.9997568799246149,0.9985007373913243,66.0,47.0
