row_family,profile_id,claim_scope,status,err_RMSE,err_nRMSE,relative_l2,fRMSE_low,fRMSE_mid,fRMSE_high,runtime_sec,peak_cuda_memory_bytes,parameter_count,run_root,source_document,epochs,history_len,split_counts,window_counts,raw_windows_per_trajectory,raw_available_windows,sample_contract,input_channels,target_channels,training_loss,batch_size,mode,evidence_scope
fresh_history3,author_ffno_cns_base,adjacent_capped_context_only,completed,0.5554690361022949,0.023003891110420227,0.023003891110420227,1.3145936727523804,0.05785238742828369,0.11767252534627914,4850.004317998886,3412985344,1073928,.artifacts/NEURIPS-HYBRID-RESNET-2026/phase-2-pdebench-author-ffno-history-length-compare/history3-pilot-40ep-20260502T045955Z,fresh_history_run,40,3,"{'test': 64, 'train': 512, 'val': 64}","{'test': 512, 'train': 4096, 'val': 512}",18,180000,concat u[t-3:t] -> u[t],12,4,mse,4,pilot,capped_decision_support_only
reference_history2,author_ffno_cns_base,adjacent_capped_context_only,completed,0.6802443265914917,0.028147730976343155,0.028147730976343155,1.6124732494354248,0.07592882961034775,0.12101411819458008,4725.511692285538,3410884096,1073672,.artifacts/NEURIPS-HYBRID-RESNET-2026/phase-2-pdebench-author-ffno-equal-footing-cns/author-ffno-40ep-20260422T234340Z,docs/plans/NEURIPS-HYBRID-RESNET-2026/pdebench_author_ffno_equal_footing_summary.md,40,2,"{'test': 64, 'train': 512, 'val': 64}","{'test': 512, 'train': 4096, 'val': 512}",19,190000,concat u[t-2:t] -> u[t],8,4,mse,4,readiness,smoke_feasibility_only
delta_history3_vs_history2,author_ffno_cns_base,adjacent_capped_context_only,,-0.124775290489197,-0.005143839865923,-0.005143839865923,-0.297879576683044,-0.018076442182064,-0.003341592848301,124.49262571334839,,,,,,,,,,,,,,,,,
