model,frequency_bin,amplitude_frc,phase_frc
Baseline,0,1.000000,1.000000
Baseline,1,0.752572,0.406152
Baseline,2,0.032878,0.192371
Baseline,3,0.000853,0.005535
Baseline,4,0.019865,0.212173
Baseline,5,0.075644,0.047233
Baseline,6,0.179904,0.087873
Baseline,7,0.039551,0.228857
Baseline,8,0.029876,0.275124
Baseline,9,0.009416,0.073951
Baseline,10,0.196041,0.041197
Baseline,11,0.204394,0.085120
Baseline,12,0.258406,0.033277
Baseline,13,0.136282,0.014024
Baseline,14,0.238934,0.062052
Baseline,15,0.130471,0.007001
Baseline,16,0.210888,0.074604
Baseline,17,0.190658,0.001060
Baseline,18,0.096298,0.025856
Baseline,19,0.118230,0.161273
Baseline,20,0.026849,0.127998
Baseline,21,0.123165,0.081320
Baseline,22,0.109845,0.091079
Baseline,23,0.082336,0.135161
Baseline,24,0.076127,0.069889
Baseline,25,0.104594,0.152956
Baseline,26,0.029936,0.105692
Baseline,27,0.031010,0.099398
Baseline,28,0.041237,0.136812
Baseline,29,0.018680,0.238979
Baseline,30,0.004386,0.152870
Baseline,31,0.007568,0.043336
Baseline,32,0.029711,0.046766
Baseline,33,0.014463,0.125762
Baseline,34,0.009261,0.050900
Baseline,35,0.076096,0.188990
Baseline,36,0.118421,0.033135
Baseline,37,0.235007,0.199258
Baseline,38,0.036068,0.100711
Baseline,39,0.063367,0.133408
Baseline,40,0.028160,0.175237
Baseline,41,0.558851,0.065344
Baseline,42,0.425803,0.797301
