model,metric,amplitude,phase,value
PtychoPINN,mae,0.149509,0.486340,
PtychoPINN,mse,0.040120,0.374200,
PtychoPINN,psnr,62.097150,52.399770,
PtychoPINN,ssim,0.093805,0.380699,
PtychoPINN,ms_ssim,0.369739,0.347075,
PtychoPINN,frc50,1.000000,6.000000,
Baseline,mae,0.132289,0.562220,
Baseline,mse,0.033461,0.459004,
Baseline,psnr,62.885464,51.512637,
Baseline,ssim,0.114929,0.345939,
Baseline,ms_ssim,0.071726,0.052164,
Baseline,frc50,2.000000,1.000000,
PtyChi,mae,0.111097,0.244891,
PtyChi,mse,0.023446,0.111585,
PtyChi,psnr,64.430168,57.654728,
PtyChi,ssim,0.501373,0.795523,
PtyChi,ms_ssim,0.733903,0.873416,
PtyChi,frc50,8.000000,11.000000,
PtychoPINN,computation_time_s,,,2.892009
Baseline,computation_time_s,,,0.837435
